Order,Family,Species name,Taxonomic authority,Common name,taxon_id,assessment_id,European category,EU 27 regional category,Endemic to Europe,Endemic to EU 27,Link to assessment
Caudata,Salamandridae,Lissotriton italicus,"(Peracca, 1898)",Italian Newt,59476,229006043,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/59476/229006043
Caudata,Salamandridae,Lissotriton maltzani,"(Boettger, 1879)",Portuguese Smooth Newt,79079357,228185515,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/79079357/228185515
Caudata,Salamandridae,Lissotriton montandoni,"(Boulenger, 1880)",Carpathian Newt,59478,228185921,LC,LC,Yes,No,https://www.iucnredlist.org/species/59478/228185921
Caudata,Salamandridae,Lissotriton schmidtleri,"(Raxworthy, 1988)",Schmidtler's Smooth Newt,211757868,211757998,LC,Not recorded,No,No,https://www.iucnredlist.org/species/211757868/211757998
Caudata,Salamandridae,Lissotriton vulgaris,"(Linnaeus, 1758)",Smooth Newt,79078647,229006372,LC,Not recorded,Yes,No,https://www.iucnredlist.org/species/79078647/229006372
Caudata,Salamandridae,Lyciasalamandra helverseni,"(Pieper, 1963)",Karpathos Salamander,61918,228186236,VU,VU,Yes,Yes,https://www.iucnredlist.org/species/61918/228186236
Caudata,Salamandridae,Lyciasalamandra luschani,"(Steindachner, 1891)",Luschan's Salamander,41241,67694324,EN,EN,No,No,https://www.iucnredlist.org/species/41241/67694324
Anura,Pelobatidae,Pelobates balcanicus,"Karaman, 1928",Balkan Spadefoot,172312067,228186498,LC,LC,Yes,No,https://www.iucnredlist.org/species/172312067/228186498
Anura,Pelobatidae,Pelobates cultripes,"(Cuvier, 1829)",Western Spadefoot,58052,228187495,VU,VU,Yes,Yes,https://www.iucnredlist.org/species/58052/228187495
Anura,Pelobatidae,Pelobates fuscus,"(Laurenti, 1768)",Common Spadefoot,196236126,228187875,LC,LC,Yes,No,https://www.iucnredlist.org/species/196236126/228187875
Anura,Pelobatidae,Pelobates syriacus,"Boettger, 1889",Syrian Spadefoot,172313717,223143581,NT,EN,No,No,https://www.iucnredlist.org/species/172313717/223143581
Anura,Pelobatidae,Pelobates varaldii,"Pasteur & Bons, 1959",Varaldi’s Spadefoot Toad,58054,207984541,NA,Not recorded,No,No,https://www.iucnredlist.org/species/58054/207984541
Anura,Pelobatidae,Pelobates vespertinus,"(Pallas, 1771)",Pallas' Spadefoot Toad,196236041,202020399,LC,Not recorded,No,No,https://www.iucnredlist.org/species/196236041/202020399
Anura,Pelodytidae,Pelodytes atlanticus,"Díaz-Rodríguez, Gehara, Márquez, Vences, Gonçalves, Sequeira, Martínez-Solano & Tejedo, 2017",Lusitanian Parsley Frog,114139495,227223836,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/114139495/227223836
Anura,Pelodytidae,Pelodytes ibericus,"Sánchez-Herráiz, Barbadillo, Machordom & Sanchiz, 2000",Iberian Parsley Frog,58055,227224480,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/58055/227224480
Anura,Pelodytidae,Pelodytes punctatus,"(Daudin, 1802)",,173111497,218083218,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/173111497/218083218
Anura,Ranidae,Pelophylax bedriagae,"(Camerano, 1882)",Bedriaga's Frog,58893474,200682549,LC,LC,No,No,https://www.iucnredlist.org/species/58893474/200682549
