CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup,CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName,CountryOccurrence.CountryOccurrenceSubfield.formerlyBred,CountryOccurrence.CountryOccurrenceSubfield.origin,CountryOccurrence.CountryOccurrenceSubfield.presence,CountryOccurrence.CountryOccurrenceSubfield.seasonality,assessment_id,internal_taxon_id,internal_taxon_name
DE,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
ITA-IT,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
YUG-SE,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
SK,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
LU,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
RS,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
PL,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
HU,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
LI,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
SM,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
BA,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
RO,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
LT,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
SE,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
BG,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
HR,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
GR,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
IT,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
SI,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
MC,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
ME,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
NL,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
CZ,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
DK,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
GRC-OO,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
MD,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
LV,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
MK,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
EE,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
FI,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
BY,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
FR,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
NO,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
FRA-FR,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
RU-EU,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
TUE-OO,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
YUG-KO,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
UKR-UK,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
RUC-OO,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
TR,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
VA,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
RUW-OO,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
GB,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
GRB-OO,,,Native,Extant,Resident,200188858,88316072,Bufo bufo
