Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority
88103927,This species is a re-description of the previously elevated subspecies of&nbsp;Triturus karelinii which was known as T. arntzeni&nbsp;(Wielstra et al. 2013). T. anatolicus was previously confused with species (Wielstra and Arntzen 2016).,AMPHIBIA,SALAMANDRIDAE,Triturus,,,,88103927,Triturus ivanbureschi,ANIMALIA,CAUDATA,CHORDATA,ivanbureschi,"Arntzen &amp; Wielstra, 2013"
88316046,This species was elevated from its previous status as a subspecies of Bufo bufo by Recuero et al. (2012).,AMPHIBIA,BUFONIDAE,Bufo,,,,88316046,Bufo spinosus,ANIMALIA,ANURA,CHORDATA,spinosus,"Daudin, 1803"
88316072,"This is a restricted concept of this species following the splits of the broader concept into this and Bufo spinosus (García-Porta et al. 2012, Recuero et al. 2012).  Following genetic analysis, parts of the former range of this species (e.g. Jersey, western and southern France, Andorra, and the Iberian Peninsula) have been assigned to Bufo spinosus which has been elevated from subspecies level (García-Porta et al. 2012, Recuero et al. 2012).",AMPHIBIA,BUFONIDAE,Bufo,,,,88316072,Bufo bufo,ANIMALIA,ANURA,CHORDATA,bufo,"(Linnaeus, 1758)"
110466172,"This is a restricted concept of this species following the split of the broader concept into this and Xenopus poweri (Furman et al. 2015). A previous subspecies of this species Xenopus laevis sudanensis was elevated to a distinct species, and then subsequently synonymised with X. poweri (Furman&nbsp;et al. 2015).",AMPHIBIA,PIPIDAE,Xenopus,,,,110466172,Xenopus laevis,ANIMALIA,ANURA,CHORDATA,laevis,"(Daudin, 1802)"
136687833,"This is a restricted concept of this species following the split of the broader concept into this and S. tridactyla (Malyarchuk et al. 2010). Following genetic analysis, some subpopulations in Primorsky Krai in Russia, in eastern China and at the extreme northeast of the Democratic People's Republic of Korea have now been assigned to Salamandrella tridactyla (Malyarchuk et al. 2010).",AMPHIBIA,HYNOBIIDAE,Salamandrella,,,,136687833,Salamandrella keyserlingii,ANIMALIA,CAUDATA,CHORDATA,keyserlingii,"Dybowski, 1870"
172313717,This is a restricted concept of this species following the split of the broader concept into this species (which as now defined contains the subspecies Pelobates syriacus syriacus and P. s. boettgeri) and Pelobates balcanicus (Dufresnes et al. 2019).,AMPHIBIA,PELOBATIDAE,Pelobates,,,,172313717,Pelobates syriacus,ANIMALIA,ANURA,CHORDATA,syriacus,"Boettger, 1889"
173101508,"This is a restricted concept of this species following the split of the broader concept into this and Rana parvipalmata (Dufresnes et al. 2020) from northwest Spain, formerly placed as a subspecies of Rana temporaria.",AMPHIBIA,RANIDAE,Rana,,,,173101508,Rana temporaria,ANIMALIA,ANURA,CHORDATA,temporaria,"Linnaeus, 1758"
173109790,"Dufresnes&nbsp;et al. (2019) revised the taxonomy of&nbsp;Hyla meridionalis&nbsp;and described the genetically distinct Tunisian and eastern Algerian populations, previously identified as a candidate species, as the new species&nbsp;H. carthaginiensis&nbsp;on the basis of evidence that limited genetic admixture suggests ""putatively advanced reproductive isolation"". The species was simultaneously described by Escoriza and Ben Hassine (2019) as&nbsp;Hyla numidica, using a specimen from Nefza, Tunisia, but this name was published later.&nbsp;H. numidica;&nbsp;is consequently a junior synonym of&nbsp;H.&nbsp;carthaginiensis&nbsp;(Dufresnes and Crochet 2020).    As now defined,&nbsp;H. meridionalis&nbsp;consists of two divergent clades: one restricted to Algeria and possibly the Molouya Valley in adjacent Morocco; and the other being naturally endemic to Morocco (from which all studied naturalized populations are derived) (Dufresnes&nbsp;et al.&nbsp;2019, Dufresnes and Alard 2020). ",AMPHIBIA,HYLIDAE,Hyla,,,,173109790,Hyla meridionalis,ANIMALIA,ANURA,CHORDATA,meridionalis,"Boettger, 1874"
182525327,"Bufotes siculus&nbsp;was synonymized under this species by Speybroeck&nbsp;et al.&nbsp;(2010) and supported by Dufresnes&nbsp;et al. (2019), who note also that this name may not have been validly published. This arrangement has been endorsed by the European Herpetological Society (Speybroeck&nbsp;et al. 2020). This species exhibits little genetic structure across its range, which has been hypothesized to result from recent demographic expansion during interglacial periods (Nicolas&nbsp;et al.&nbsp;2018).",AMPHIBIA,BUFONIDAE,Bufotes,,,,182525327,Bufotes boulengeri,ANIMALIA,ANURA,CHORDATA,boulengeri,"(Lataste, 1879)"
182530066,"Further revision of the taxonomy of the Bufotes viridis complex with the use of genetic and biochemical data is needed. There was disagreement over the use of the generic name Pseudepidalea in place of Bufo and now most species have been moved to Bufotes because of non-monophyly of both Bufo and Pseudepidalea.  After Dufresnes et al. (2019) revised the taxonomy of the B. viridis complex, synonymizing B. balearicus and Bufo variabilis within it and clarified range limits between this species and the former synonym B. sitibundus, which they elevated to specific status, encompassing most of the species' former range, Frost (""Amphibian Species of the World"") again synonymized B. sitibundus with B. viridis. Bufo perrini was also elevated from subspecies to species level by Dufresnes et al. (2019), but is not recognised by Frost as a separate taxonomic entity.",AMPHIBIA,BUFONIDAE,Bufotes,,,,182530066,Bufotes viridis,ANIMALIA,ANURA,CHORDATA,viridis,"(Laurenti, 1768)"
196236041,"This species was removed from the synonymy of Pelobates fuscus (Litvinchuk et al. 2013, Suryadnaya 2014).",AMPHIBIA,PELOBATIDAE,Pelobates,,,,196236041,Pelobates vespertinus,ANIMALIA,ANURA,CHORDATA,vespertinus,"(Pallas, 1771)"
211146190,This is a restricted concept of this species following the split of the broader concept into this and&nbsp;Triturus ivanbureschi (Wielstra et al. 2013).,AMPHIBIA,SALAMANDRIDAE,Triturus,,,,211146190,Triturus karelinii,ANIMALIA,CAUDATA,CHORDATA,karelinii,"(Strauch, 1870)"
211757868,"This species was elevated from subspecies level of Lissotriton vulgaris (Pabijan et al. 2017). Although there is ongoing discussion about the taxonomic identity of the species (Speybroeck et al. 2020), we follow Frost (2021) in accepting Lissotriton schmidtleri as a valid species.",AMPHIBIA,SALAMANDRIDAE,Lissotriton,,,,211757868,Lissotriton schmidtleri,ANIMALIA,CAUDATA,CHORDATA,schmidtleri,"(Raxworthy, 1988)"
