Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority
58893474,"This species was previously reported to occur in Cyprus, however, following genetic analysis, these records are now assigned to&#160;<em>Pelophylax cypriensis</em>, previously confused under this name<em>&#160;</em>(Plötner&#160;<em>et al.</em>&#160;2012).",AMPHIBIA,RANIDAE,Pelophylax,,,,58893474,Pelophylax bedriagae,ANIMALIA,ANURA,CHORDATA,bedriagae,"(Camerano, 1882)"
78928690,This is a restricted concept of this species following the split of the broader concept into this and <em>Hyla felixarabica </em>(Gvoždík <em>et al.</em> 2010).,AMPHIBIA,HYLIDAE,Hyla,,,,78928690,Hyla savignyi,ANIMALIA,ANURA,CHORDATA,savignyi,"Audouin, 1827"
82494309,"This was previously considered a subspecies of&#160;<em>Hyla arborea</em>,&#160;until it was elevated to species status by Stöck&#160;<em>et al.</em>&#160;(2008).",AMPHIBIA,HYLIDAE,Hyla,,,,82494309,Hyla orientalis,ANIMALIA,ANURA,CHORDATA,orientalis,"Bedriaga, 1890"
88103927,This species is a re-description of the previously elevated subspecies of&#160;<em>Triturus karelinii </em>which was known as<em> T. arntzeni&#160;</em>(Wielstra <em>et al.</em> 2013). <em>T. anatolicus</em> was previously confused with species (Wielstra and Arntzen 2016).,AMPHIBIA,SALAMANDRIDAE,Triturus,,,,88103927,Triturus ivanbureschi,ANIMALIA,CAUDATA,CHORDATA,ivanbureschi,"Arntzen &amp; Wielstra, 2013"
88316046,This species was elevated from its previous status as a subspecies of<em> Bufo bufo</em> by Recuero <em>et al.</em> (2012).,AMPHIBIA,BUFONIDAE,Bufo,,,,88316046,Bufo spinosus,ANIMALIA,ANURA,CHORDATA,spinosus,"Daudin, 1803"
88316072,"This is a restricted concept of this species following the splits of the broader concept into this and <em>Bufo spinosus</em> (García-Porta <em>et al</em>. 2012, Recuero <em>et al</em>. 2012).<br/><br/>Following genetic analysis, parts of the former range of this species (e.g. Jersey, western and southern France, Andorra, and the Iberian Peninsula) have been assigned to <em>Bufo spinosus</em> which has been elevated from subspecies level (García-Porta<em> et al</em>. 2012, Recuero <em>et al</em>. 2012).",AMPHIBIA,BUFONIDAE,Bufo,,,,88316072,Bufo bufo,ANIMALIA,ANURA,CHORDATA,bufo,"(Linnaeus, 1758)"
110466172,"This is a restricted concept of this species following the split of the broader concept into this and <em>Xenopus poweri</em> (Furman <em>et al.</em> 2015). A previous subspecies of this species <em>Xenopus laevis sudanensis</em> was elevated to a distinct species, and then subsequently synonymised with <em>X. poweri</em> (Furman&#160;<em>et al.</em> 2015).",AMPHIBIA,PIPIDAE,Xenopus,,,,110466172,Xenopus laevis,ANIMALIA,ANURA,CHORDATA,laevis,"(Daudin, 1802)"
136687833,"This is a restricted concept of this species following the split of the broader concept into this and <em>S. tridactyla</em> (Malyarchuk <em>et al</em>. 2010). Following genetic analysis, some subpopulations in Primorsky Krai in Russia, in eastern China and at the extreme northeast of the Democratic People's Republic of Korea have now been assigned to <em>Salamandrella tridactyla</em> (Malyarchuk <em>et al</em>. 2010).",AMPHIBIA,HYNOBIIDAE,Salamandrella,,,,136687833,Salamandrella keyserlingii,ANIMALIA,CAUDATA,CHORDATA,keyserlingii,"Dybowski, 1870"
172313717,This is a restricted concept of this species following the split of the broader concept into this species (which as now defined contains the subspecies <em>Pelobates syriacus syriacus </em>and <em>P. s. boettgeri</em>) and <em>Pelobates balcanicus</em> (Dufresnes <em>et al</em>. 2019).,AMPHIBIA,PELOBATIDAE,Pelobates,,,,172313717,Pelobates syriacus,ANIMALIA,ANURA,CHORDATA,syriacus,"Boettger, 1889"
173101508,"This is a restricted concept of this species following the split of the broader concept into this and <em>Rana parvipalmata</em> (Dufresnes <em>et al</em>. 2020) from northwest Spain, formerly placed as a subspecies of <em>Rana temporaria</em>.",AMPHIBIA,RANIDAE,Rana,,,,173101508,Rana temporaria,ANIMALIA,ANURA,CHORDATA,temporaria,"Linnaeus, 1758"
173109790,"Dufresnes&#160;<em>et al</em>. (2019) revised the taxonomy of&#160;<em>Hyla meridionalis</em>&#160;and described the genetically distinct Tunisian and eastern Algerian populations, previously identified as a candidate species, as the new species&#160;<em>H. carthaginiensis</em>&#160;on the basis of evidence that limited genetic admixture suggests ""putatively advanced reproductive isolation"". The species was simultaneously described by Escoriza and Ben Hassine (2019) as&#160;<em>Hyla numidica</em>, using a specimen from Nefza, Tunisia, but this name was published later.&#160;<em>H. numidica</em>;&#160;is consequently a junior synonym of&#160;<em>H.&#160;carthaginiensis</em>&#160;(Dufresnes and Crochet 2020).<br/><br/><br/><p>As now defined,&#160;<em>H. meridionalis</em>&#160;consists of two divergent clades: one restricted to Algeria and possibly the Molouya Valley in adjacent Morocco; and the other being naturally endemic to Morocco (from which all studied naturalized populations are derived) (Dufresnes&#160;<em>et al</em>.&#160;2019, Dufresnes and Alard 2020).</p>",AMPHIBIA,HYLIDAE,Hyla,,,,173109790,Hyla meridionalis,ANIMALIA,ANURA,CHORDATA,meridionalis,"Boettger, 1874"
182525327,"<em>Bufotes siculus</em>&#160;was synonymized under this species by Speybroeck<em>&#160;et al.</em>&#160;(2010) and supported by Dufresnes&#160;<em>et al</em>. (2019), who note also that this name may not have been validly published. This arrangement has been endorsed by the European Herpetological Society (Speybroeck<em>&#160;et al</em>. 2020). This species exhibits little genetic structure across its range, which has been hypothesized to result from recent demographic expansion during interglacial period<span style=""background-color: rgb(255, 255, 255);"">s (Nicolas&#160;<em>et al.&#160;</em>2018).</span>",AMPHIBIA,BUFONIDAE,Bufotes,,,,182525327,Bufotes boulengeri,ANIMALIA,ANURA,CHORDATA,boulengeri,"(Lataste, 1879)"
182530066,"Further revision of the taxonomy of the <em>Bufotes viridis</em> complex with the use of genetic and biochemical data is needed. There was disagreement over the use of the generic name <em>Pseudepidalea</em> in place of <em>Bufo </em>and now most species have been moved to <em>Bufotes</em> because of non-monophyly of both <em>Bufo </em>and <em>Pseudepidalea.<br/></em><br/>After Dufresnes <em>et al</em>. (2019) revised the taxonomy of the <em>B. viridis</em> complex, synonymizing <em>B. balearicus</em> and <em>Bufo variabilis</em> within it and clarified range limits between this species and the former synonym <em>B. sitibundus</em>, which they elevated to specific status, encompassing most of the species' former range, Frost (""Amphibian Species of the World"") again synonymized <em>B. sitibundus </em>with <em>B. viridis</em>. <em>Bufo perrini</em> was also elevated from subspecies to species level by Dufresnes <em>et al.</em> (2019), but is not recognised by Frost as a separate taxonomic entity.",AMPHIBIA,BUFONIDAE,Bufotes,,,,182530066,Bufotes viridis,ANIMALIA,ANURA,CHORDATA,viridis,"(Laurenti, 1768)"
196236041,"This species was removed from the synonymy of <em>Pelobates fuscus</em> (Litvinchuk <em>et al</em>. 2013, Suryadnaya 2014).",AMPHIBIA,PELOBATIDAE,Pelobates,,,,196236041,Pelobates vespertinus,ANIMALIA,ANURA,CHORDATA,vespertinus,"(Pallas, 1771)"
211146190,This is a restricted concept of this species following the split of the broader concept into this and&#160;<em>Triturus ivanbureschi</em> (Wielstra <em>et al.</em> 2013).,AMPHIBIA,SALAMANDRIDAE,Triturus,,,,211146190,Triturus karelinii,ANIMALIA,CAUDATA,CHORDATA,karelinii,"(Strauch, 1870)"
211757868,"This species was elevated from subspecies level of <em>Lissotriton vulgaris</em> (Pabijan <em>et al.</em> 2017). Although there is ongoing discussion about the taxonomic identity of the species (Speybroeck <em>et al.</em> 2020), we follow Frost (2021) in accepting <em>Lissotriton schmidtleri</em> as a valid species.",AMPHIBIA,SALAMANDRIDAE,Lissotriton,,,,211757868,Lissotriton schmidtleri,ANIMALIA,CAUDATA,CHORDATA,schmidtleri,"(Raxworthy, 1988)"
