AOO.justification,AOO.range,AOOContinuingDecline.isInContinuingDecline,AOOContinuingDecline.justification,AOOContinuingDecline.qualifier,AOODetails.breedingRange,AOODetails.breedingRangeJustification,AOODetails.nonbreedingRange,AOODetails.nonbreedingRangeJustification,AOOExtremeFluctuation.isFluctuating,AOOExtremeFluctuation.justification,AreaRestricted.isRestricted,AreaRestricted.justification,AvgAnnualFecundity.fecundity,AvgReproductiveAge.age,AvgReproductiveAge.units,BirthSize.size,Congregatory.value,CropWildRelative.isRelative,CurrentTrendDataDerivation.value,DepthLower.limit,DepthUpper.limit,DepthZone.depthZone,EOO.justification,EOO.range,EOOContinuingDecline.isContinuingDecline,EOOContinuingDecline.justification,EOOContinuingDecline.qualifier,EOODetails.breedingRange,EOODetails.nonbreedingRange,EOOExtremeFluctuation.isFluctuating,EOOExtremeFluctuation.justification,EggLaying.layEggs,ElevationLower.limit,ElevationUpper.limit,ExtinctionProbabilityGenerations3.justification,ExtinctionProbabilityGenerations3.range,ExtinctionProbabilityGenerations5.justification,ExtinctionProbabilityGenerations5.range,ExtinctionProbabilityYears100.justification,ExtinctionProbabilityYears100.range,FemaleMaturityAge.age,FemaleMaturityAge.units,FemaleMaturitySize.size,FreeLivingLarvae.hasStage,GenerationLength.justification,GenerationLength.quality,GenerationLength.range,GestationTime.time,GestationTime.units,HabitatContinuingDecline.isDeclining,HabitatContinuingDecline.justification,HabitatContinuingDecline.qualifier,IdentificationDescription.text,InPlaceEducationControlled.note,InPlaceEducationControlled.value,InPlaceEducationInternationalLegislation.note,InPlaceEducationInternationalLegislation.value,InPlaceEducationSubjectToPrograms.note,InPlaceEducationSubjectToPrograms.value,InPlaceLandWaterProtectionAreaPlanned.note,InPlaceLandWaterProtectionAreaPlanned.value,InPlaceLandWaterProtectionInPA.note,InPlaceLandWaterProtectionInPA.value,InPlaceLandWaterProtectionInvasiveControl.note,InPlaceLandWaterProtectionInvasiveControl.value,InPlaceLandWaterProtectionPercentProtected.note,InPlaceLandWaterProtectionPercentProtected.value,InPlaceLandWaterProtectionSitesIdentified.note,InPlaceLandWaterProtectionSitesIdentified.value,InPlaceResearchMonitoringScheme.note,InPlaceResearchMonitoringScheme.value,InPlaceResearchRecoveryPlan.note,InPlaceResearchRecoveryPlan.value,InPlaceSpeciesManagementExSitu.note,InPlaceSpeciesManagementExSitu.value,InPlaceSpeciesManagementHarvestPlan.note,InPlaceSpeciesManagementHarvestPlan.value,InPlaceSpeciesManagementReintroduced.note,InPlaceSpeciesManagementReintroduced.value,LiveBirth.liveBirth,Livelihoods.noInfo,LocationContinuingDecline.inDecline,LocationContinuingDecline.justification,LocationContinuingDecline.qualifier,LocationExtremeFluctuation.isFluctuating,LocationExtremeFluctuation.justification,LocationsNumber.justification,LocationsNumber.range,Longevity.longevity,Longevity.units,MaleMaturityAge.age,MaleMaturityAge.units,MaleMaturitySize.size,MatureIndividualsSubpopulation.value,MaxSize.size,MaxSubpopulationSize.range,MovementPatterns.pattern,NaturalMortality.value,NoThreats.noThreats,NonConsumptiveUse.isNonConsumptiveUse,NonConsumptiveUseDescription.narrative,NotUtilized.isNotUtilized,Parthenogenesis.exhibitsParthenogenesis,PopulationContinuingDecline.isDeclining,PopulationContinuingDecline.justification,PopulationContinuingDecline.qualifier,PopulationDeclineGenerations1.justification,PopulationDeclineGenerations1.qualifier,PopulationDeclineGenerations1.range,PopulationDeclineGenerations2.justification,PopulationDeclineGenerations2.qualifier,PopulationDeclineGenerations2.range,PopulationDeclineGenerations3.justification,PopulationDeclineGenerations3.qualifier,PopulationDeclineGenerations3.range,PopulationExtremeFluctuation.isFluctuating,PopulationExtremeFluctuation.justification,PopulationIncreaseRate.narrative,PopulationReductionFuture.direction,PopulationReductionFuture.justification,PopulationReductionFuture.qualifier,PopulationReductionFuture.range,PopulationReductionFutureBasis.detail,PopulationReductionFutureBasis.value,PopulationReductionPast.direction,PopulationReductionPast.justification,PopulationReductionPast.qualifier,PopulationReductionPast.range,PopulationReductionPastBasis.detail,PopulationReductionPastBasis.value,PopulationReductionPastCeased.value,PopulationReductionPastReversible.value,PopulationReductionPastUnderstood.value,PopulationReductionPastandFuture.direction,PopulationReductionPastandFuture.justification,PopulationReductionPastandFuture.numYears,PopulationReductionPastandFuture.qualifier,PopulationReductionPastandFuture.range,PopulationReductionPastandFutureBasis.detail,PopulationReductionPastandFutureBasis.value,PopulationReductionPastandFutureCeased.value,PopulationReductionPastandFutureReversible.value,PopulationReductionPastandFutureUnderstood.value,PopulationSize.range,ReproductivePeriodicity.value,SevereFragmentation.isFragmented,SevereFragmentation.justification,SubpopulationContinuingDecline.isDeclining,SubpopulationContinuingDecline.justification,SubpopulationContinuingDecline.qualifier,SubpopulationExtremeFluctuation.isFluctuating,SubpopulationExtremeFluctuation.justification,SubpopulationNumber.justification,SubpopulationNumber.range,SubpopulationSingle.value,ThreatsUnknown.value,TrendInDomesticOfftake.value,TrendInWildOfftake.value,UTCaptiveHarvest.value,UTHarvestTrendComments.narrative,UTIntlCommercialValue.value,UTLocalLivelihood.localcommercial,UTLocalLivelihood.localcommercialDetail,UTLocalLivelihood.subsistence,UTLocalLivelihood.subsistenceRationale,UTNatlCommercialValue.value,UseTradeNoInformation.value,WaterBreeding.value,YearOfPopulationEstimate.value,assessment_id,internal_taxon_id,internal_taxon_name
,,Unknown,,,,,,,No,,No,,,,,,,,Unknown,,,,,6121179,Unknown,,,,,No,,Yes,0,2000,,,,,,,3,Years,,Yes,,,,,,,,,,,No,,No,,,,,,Yes,,,,,,"Yes, over entire range",,,,,,,,,,,No,false,Unknown,,,No,,,,,,2,Years,,,,,,,true,false,,false,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,Unknown,Increasing,,,Yes,,,Yes,,Yes,false,Yes,,200716374,58705,Pelophylax ridibundus
,,,,,,,,,,,,,,,,,,,Observed,,,,,,,,,,,,,Yes,0,156,,,,,,,,,,Yes,,,,,,,,,,,No,This species is listed on Appendix III of the Bern Convention.,Yes,,,,,,Yes,,,,,,"Yes, over entire range",,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,true,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,false,Yes,,200717357,58707,Pelophylax saharicus
,,,,,,,,,,,,,3000,,,,,,Unknown,,,,,5480918,,,,,,,,Yes,,800,,,,,,,3,Years,,Yes,,,,,,,,,,,No,,No,,,,,,Yes,,,,,,"Yes, over entire range",,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,No,,,Yes,,Yes,false,Yes,,200717774,58548,Rana arvalis
,,No,,,,,,,No,,No,,1800,,,,,,Suspected,,,,,1920732,No,,,,,No,,Yes,0,1700,,,,,,,3,Years,,Yes,,,,,,Unknown,,,,,No,Appendix II the Bern Convention and on Appendix IV of the EU Habitats Directive,Yes,,Yes,,,,Yes,,,,,,"Yes, over entire range",,Yes,,,,Yes,,,,,No,false,No,,,No,,,,,,,,,,,,,,false,false,,false,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,Unknown,,,No,,,Yes,,Yes,false,Yes,,200718410,58584,Rana dalmatina
,,No,,,,,,,No,,No,,4000,,,,,,Suspected,,,,,7052799,No,,,,,No,,Yes,0,2700,,,,,,,3,Years,,Yes,,,,,,Yes,,Inferred,,,No,Appendix III of the Berne Convention and on Annex V of the EU Natural Habitats Directive,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,,,,No,false,No,,,No,,,,,,,,,,,,Not a Migrant,,false,false,,false,No,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,Unknown,,,Yes,,,Yes,,Yes,false,Yes,,200721782,173101508,Rana temporaria
,,,,,,,,,,,Unknown,,1400,,,,,,Observed,,,,,353564,,,,,,,,Yes,0,1565,,,,,,,1.5,Years,,Yes,,,6,,,,,,,,No,Appendix III of the Bern Convention,Yes,,,,,,Yes,,,,,,"Yes, over entire range",,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,false,No,,,,,,,,,,,,,,,,,,,,,,Reduction,,Observed,15.6-23.4,AOO,"a) direct observation|c) a decline in area of occupancy, extent of occurrence and/or quality of habitat",Unknown,Unknown,Unknown,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,true,Yes,,200741141,59463,Pleurodeles waltl
,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,No,80,2450,,,,,,,,,,No,,,,,,,,,,,No,Appendix III of the Bern Convention,Yes,,,,,,Unknown,,,,,,,,,,,,,,,,,Yes,false,,,,,,,,,,,,,,,,,,false,false,,false,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,Unknown,Unknown,Yes,,Yes,,,No,,No,false,Yes,,200741882,59464,Salamandra algira
,,,,,,,,,No,,No,,"Great Britain (range 425 - 4796, Gittins et al., 1984; 700 - 5000, Reading, 1986), Netherlands (1859 - 6305, Van Gelder, 1995) and Germany (750 - 8100, Kuhn, 1994)",12,Years,,,,Inferred,,,,,155000,No,,,,,No,,Yes,0,,,,,,,,3,Years,,Yes,,,,,,Unknown,,,,,No,included under the previous name - T. karelinii on Appendix II of the Bern Convention and Annexes II and IV of the EU Natural Habitats Directive,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,false,No,,,No,,,,15,Years,2,Years,,,8.80 (males) 9.63 (females),,Not a Migrant,,false,false,,true,No,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,false,Yes,,200745594,88103927,Triturus ivanbureschi
,286,No,,,,,,,No,,No,,,,,,,,Observed,,,,,7477,No,,,,,No,,Yes,0,1200,,,,,,,,,,Yes,,,,,,Unknown,,,,,No,,Yes,,,,,,Yes,,,,,,Unknown,,,,,,,,,,Yes,No,false,No,,,No,,,,,,,,,,,,,,false,false,,false,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,Not cultivated,Unknown,,,Yes,,,No,,Yes,false,Yes,,200746759,211146190,Triturus karelinii
,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,Yes,0,2650,,,,,,,,,,Yes,,,,,,,,,,,No,,No,,,,,,Yes,,,,,,"Yes, over entire range",,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,false,Yes,,202016456,54703,Sclerophrys mauritanica
,,,,,,,,,,,,,3400,,,,,,Suspected,,,,,2781874,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,No,,Inferred,,,No,,No,,,,,"""State Nature Park \""Karagadsky\"";\nState Nature Park \""Opukskiy\"" """,Yes,,,,,,,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,Not a Migrant,,false,false,,false,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,Yes,,,No,,Yes,false,Yes,,202020399,196236041,Pelobates vespertinus
,,,,,,,,,,,,,,,,,,,Observed,,,,,,,,,,,,,Yes,0,3000,,,,,,,,,,Yes,,,,,,,,,,,No,,No,,,,,,Yes,,,,,,,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,Not a Migrant,,true,false,,false,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,Unknown,Unknown,Yes,,Yes,,,Yes,,No,false,Yes,,202022250,110466172,Xenopus laevis
,,,,,,,,,,,,,,,,,,,Observed,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,No,,,,,No,,No,,,,,,Yes,,,,,,"Yes, over entire range",,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,true,false,,false,No,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,Increasing,Increasing,,,Yes,,,Yes,,Yes,false,Yes,,202022987,58565,Aquarana catesbeianus
,,No,,,,,,,No,,No,,280,,,,,,Inferred,,,Deep Photic (51-200m),,1379333,No,,,,,No,,Yes,2,2250,,,,,,,,,,Yes,,,,,,Unknown,,,,,No,,No,,Yes,,,,Yes,,,,,,,,,,,,,,,,,No,false,No,,,No,,,,,,,,,,16,,Not a Migrant,,false,false,,true,No,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,false,Yes,,202049049,136687833,Salamandrella keyserlingii
,,,,,,,,,,,No,,1400,3-5,Years,,,,Not Applicable,,,,,,,,,,,,,,,2000,,,,,,,3,Years,,,,,,,,Unknown,,,,,No,,No,,,,,,Yes,,,,,,,,,,,,,,,,,,false,,,,,,,,8,Years,2,Years,,,4.83 (males); 5.31 (females),,Not a Migrant,,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,true,,,202052085,82494309,Hyla orientalis
,300,No,,,,,,,No,,No,,,,,,,,Suspected,,,,,11884,No,,,,,No,,Yes,0,1600,,,,,,,,,1.8,Yes,,,,,,Unknown,,,,,No,,No,,,,,,Yes,,,,,,,,,,,,,,,,,No,false,No,,,No,,,,,,,,1.8,,,,Not a Migrant,,false,false,,true,No,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,false,,,,,,,,,,,false,Yes,,202052715,78928690,Hyla savignyi
,,,,,,,,,,,Unknown,,,,,,,,Not Applicable,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,No,false,,,,,,,,,,,,,,,,,,false,false,,true,No,Unknown,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,true,,,,,,,,,,,false,Yes,,207984541,58054,Pelobates varaldii
,,Unknown,,,,,,,No,,No,,,,,,,,Unknown,,,,,76792,Unknown,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,No,listed on Appendix III of the Bern Convention as Lissotriton vulgaris,Yes,,,,,,,,,,,,,,,,,,,,,,,,false,Unknown,,,No,,,,,,,,,,,,,,false,false,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,false,,,211757998,211757868,Lissotriton schmidtleri
,,,,,,,,,,,No,,1000-3000,4-10,Years,,,,Inferred,,,,,,,,,,,,,Yes,-26,2000,,,,,,,2-3,Years,,Yes,,,7,,,Yes,,Observed,,,No,,No,,,,,"Lemnos - GR4110001 and SPA site GR4110006; Lesvos - GR4110004, GR4110003 (also SPA sites GR4110012 and GR4110010",Yes,,,,,,,,No,,,,Yes,,,,Yes,No,false,,,,,,,,16,Years,2-3,Years,,,8.66 (males); 7.44 (females),,Not a Migrant,,false,false,,true,No,Unknown,,,,,,,,,,,,Unknown,,,,,,,,,Reduction,,Suspected,20,AOO|Quality of Habitat,"e) the effects of introduced taxa, hybridization, pathogens, pollutants, competitors or parasites)|c) a decline in area of occupancy, extent of occurrence and/or quality of habitat",,,,,,,,,,,,,,,,Unknown,,,,,,,,,,false,,,,,,,,,,,false,Yes,,223143581,172313717,Pelobates syriacus
