internal_taxon_id,internal_taxon_name,language,name,primary
58893474,Pelophylax bedriagae,German,Bedriagas Wasserfrosch,false
58893474,Pelophylax bedriagae,Turkish,Levanten kurbağası,false
58893474,Pelophylax bedriagae,German,Levante-Wasserfrosch,false
58893474,Pelophylax bedriagae,German,Türkische Wasserfrosch,false
58893474,Pelophylax bedriagae,"Greek, Modern (1453-)",Ασιατικός Βάτραχος,false
58893474,Pelophylax bedriagae,English,Bedriaga's Frog,true
78928690,Hyla savignyi,English,Middle East Tree Frog,false
78928690,Hyla savignyi,English,Savigny's Treefrog,false
78928690,Hyla savignyi,Persian,Darvag,false
78928690,Hyla savignyi,Russian,Maloaziatskaya Kvaksha,false
78928690,Hyla savignyi,Turkish,Yeşil Kurbağa,false
78928690,Hyla savignyi,English,Lemon-Yellow Tree Frog,true
82494309,Hyla orientalis,English,Caucasian Treefrog,false
82494309,Hyla orientalis,English,Eastern Tree Frog,false
82494309,Hyla orientalis,English,Oriental Tree Frog,false
82494309,Hyla orientalis,Turkish,Ağaç Kurbağası,false
82494309,Hyla orientalis,Russian,Vostochnaya  Kvaksha,false
82494309,Hyla orientalis,"Greek, Modern (1453-)",Ανατολικός δενδροβάτραχος,false
82494309,Hyla orientalis,English,Shelkovnikov's Tree Frog,true
88103927,Triturus ivanbureschi,English,Balkan–Anatolian Crest Newt,false
88103927,Triturus ivanbureschi,English,Balkan Crested Newt,false
88103927,Triturus ivanbureschi,Turkish,Pürtüklü Semender,false
88103927,Triturus ivanbureschi,"Greek, Modern (1453-)",Βαλκανικός τρίτωνας,false
88103927,Triturus ivanbureschi,Macedonian,Балкански мрморец,false
88103927,Triturus ivanbureschi,Bulgarian,Балкански тритон,false
88103927,Triturus ivanbureschi,Serbian,Бурешов дугоноги велики мрмољак,false
88103927,Triturus ivanbureschi,English,Buresch's Crested New,true
88316046,Bufo spinosus,English,Western Common Toad,false
88316046,Bufo spinosus,French,Crapaud épineux,false
88316046,Bufo spinosus,Portuguese,Sapo comum,false
88316046,Bufo spinosus,Spanish; Castilian,Sapo común,false
88316046,Bufo spinosus,English,Spiny Toad,true
88316072,Bufo bufo,English,Common European Toad,false
88316072,Bufo bufo,Arabic,Aljoum,false
88316072,Bufo bufo,Hungarian,Barna varangy,false
88316072,Bufo bufo,Romanian,Broasca râioasă brună,false
88316072,Bufo bufo,French,Crapaud commun,false
88316072,Bufo bufo,French,Crapaud vulgaire,false
88316072,Bufo bufo,German,Erdkröte,false
88316072,Bufo bufo,Slovenian,Navadna krastača,false
88316072,Bufo bufo,Russian,Obyknovennaya Zhaba,false
88316072,Bufo bufo,Czech,Ropucha obecná,false
88316072,Bufo bufo,Polish,Ropucha Szara,false
88316072,Bufo bufo,Italian,Rospo Comune,false
88316072,Bufo bufo,Turkish,Siğilli Kurbağa,false
88316072,Bufo bufo,Croatian,Smeđa krastača,false
88316072,Bufo bufo,"Greek, Modern (1453-)",Χωματόφρυνος,false
88316072,Bufo bufo,Macedonian,Голема крастава жаба,false
88316072,Bufo bufo,Serbian,Обична крастача,false
88316072,Bufo bufo,Albanian,Тhithlopa,false
88316072,Bufo bufo,English,Common Toad,true
110466172,Xenopus laevis,English,African Clawed Toad,false
110466172,Xenopus laevis,English,Clawed Frog,false
110466172,Xenopus laevis,English,Clawed Toad,false
110466172,Xenopus laevis,English,Common Clawed Frog,false
110466172,Xenopus laevis,English,Common Clawed Toad,false
110466172,Xenopus laevis,English,Common Platanna,false
110466172,Xenopus laevis,English,Platanna,false
110466172,Xenopus laevis,English,Smooth Clawed Frog,false
110466172,Xenopus laevis,English,African Clawed Frog,true
136687833,Salamandrella keyserlingii,English,Dybowski's Salamander,false
136687833,Salamandrella keyserlingii,English,Manchurian Salamander,false
136687833,Salamandrella keyserlingii,English,Siberian Newt,false
136687833,Salamandrella keyserlingii,Japanese,Kitasanshouo,false
136687833,Salamandrella keyserlingii,Russian,Sibirskii Uglozub,false
136687833,Salamandrella keyserlingii,English,Siberian Salamander,true
172313717,Pelobates syriacus,English,Eastern Spadefoot,false
172313717,Pelobates syriacus,English,Syrian Spade-foot Toad,false
172313717,Pelobates syriacus,Turkish,Toprak Kurbağası,false
172313717,Pelobates syriacus,"Greek, Modern (1453-)",Πηλοβάτης,false
172313717,Pelobates syriacus,English,Syrian Spadefoot,true
173101508,Rana temporaria,German,Grasfrosch,false
173101508,Rana temporaria,French,Grenouille rousse,false
173101508,Rana temporaria,Hungarian,Gyepi béka,false
173101508,Rana temporaria,Swedish,Vanlik Groda,false
173101508,Rana temporaria,"Greek, Modern (1453-)",Βουνοβάτραχος,false
173101508,Rana temporaria,Serbian,Жаба травњача,false
173101508,Rana temporaria,English,European Common Frog,true
173109790,Hyla meridionalis,Italian,Raganella Mediterranea,false
173109790,Hyla meridionalis,French,Rainettes meridionales,false
173109790,Hyla meridionalis,Spanish; Castilian,Ranita merdional,false
173109790,Hyla meridionalis,English,Stripeless Treefrog,true
182525327,Bufotes boulengeri,French,Crapaud vert de l'Afrique du nord,false
182525327,Bufotes boulengeri,French,Crapauid de Boulenger,false
182525327,Bufotes boulengeri,Arabic,علجوم أخضر افريقي,false
182525327,Bufotes boulengeri,English,African Green Toad,true
182530066,Bufotes viridis,English,European Green Toad,false
182530066,Bufotes viridis,English,Πρασινόφρυνος,false
182530066,Bufotes viridis,Arabic,Aljoum Akhdar,false
182530066,Bufotes viridis,French,Crapaud vert,false
182530066,Bufotes viridis,Turkish,Gece Kurbağası,false
182530066,Bufotes viridis,Polish,Ropucha Zielona,false
182530066,Bufotes viridis,Italian,Rospo Smeraldino,false
182530066,Bufotes viridis,Spanish; Castilian,Sapo Verde,false
182530066,Bufotes viridis,Russian,Zelenaya Zhaba,false
182530066,Bufotes viridis,Hungarian,Zöld varangy,false
182530066,Bufotes viridis,Macedonian,Зелена крастава жаба,false
182530066,Bufotes viridis,English,Green Toad,true
196236041,Pelobates vespertinus,English,Pallas' Spadefoot Toad,true
211146190,Triturus karelinii,English,Balkan Crested Newt,false
211146190,Triturus karelinii,English,Caucasian Crested Newt,false
211146190,Triturus karelinii,English,Karelin's Newt,false
211146190,Triturus karelinii,Turkish,Pürtüklü Semender,false
211146190,Triturus karelinii,German,Südlicher Kammolch,false
211146190,Triturus karelinii,Russian,Triton Karelina,false
211146190,Triturus karelinii,Macedonian,Балкански мрморец,false
211146190,Triturus karelinii,English,Southern Crested Newt,true
211757868,Lissotriton schmidtleri,English,Turkish Smooth Newt,false
211757868,Lissotriton schmidtleri,Turkish,Cüce Semender,false
211757868,Lissotriton schmidtleri,"Greek, Modern (1453-)",Ανατολικός Λισσοτρίτωνας,false
211757868,Lissotriton schmidtleri,English,Schmidtler's Smooth Newt,true
