Reference_type,access_date,alternate_title,assessment_id,author,date,edition,externalBibCode,internal_taxon_id,internal_taxon_name,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,,67862807,"Demirsoy, A.",,,,2865,Bombina bombina,,,,,205 pp,Ankara,Meteksen,,,,,,"Tükiye Omurgalilari, Sürüngenler",Book,,,1996
Assessment,,"",67862807,"Mlynarski, M.","","",,2865,Bombina bombina,"","","","","",Warszawa,Panstwowe Zaklady Wydawnictw Szkolnych,"","","","",Published,Plazy I Gady Polski,book,"",75,1966
Assessment,,"",67862807,"Fog, K.","","",,2865,Bombina bombina,"","","","",1-2,"","","",FrogLog,"","",Published,Amphibian conservation in Denmark,journal article,"",13,1995
Assessment,,"",67862807,"Arnold, H.R.","","",,2865,Bombina bombina,"","","","",40,"","","",ITE Research Publication,"","",Published,Atlas of amphibians and reptiles in Britain,journal article,"",10,1995
Assessment,,"",67862807,"Joly, P.","","",,2865,Bombina bombina,"","",4,"",117-129,"","","",Alytes,"","",Published,The amphibian fauna of the French Upper-Rhône floodplain. The Lavours marsh and Jons sector,journal article,"",10,1992
Assessment,,"",67862807,"Puky, M.","","",,2865,Bombina bombina,"","","","",413-429,"","Center for Transportation and the Environment, North Carolina State University, USA","L.C. Irwin, P. Garrett and K.P. McDermott","Proceedings of the International Conference on Ecology and Transportation, 26-31 August, 2003, Lake Placid, New York, USA","","",Published,Amphibian mitigation measures in Central-Europe,conference proceedings,"","",2003
Assessment,,"",67862807,"Puky, M.","","",,2865,Bombina bombina,"","","","",143-158,Sopron,Nyugat-Magyarországi Egyetem Erdõmérnöki Kar,S. Faragó,Gerinces állatfajok védelme (Conservation of vertebrate species),"","",Published,A kétéltûek védelme Magyarországon (Conservation of amphibians in Hungary),book section,"","",2000
Assessment,,"",67862807,"Puky, M., Schád, P. and Szövényi, G","","",,2865,Bombina bombina,"","","","",pp. 86,Budapest,Varangy Akciócsoport Egyesület,"","","","",Published,Preliminary herpetological atlas of Hungary,book,"","",2003
Assessment,,"",67862807,"Puky, M.","","",,2865,Bombina bombina,"","","","",341-347,"","","",Folia Historico Naturalia Musei Matraensis,"","",Published,"Az újraárasztott Nyirkai Hany - Keleti Mórrétek (Hanság) herpetofaunája (Occurrence of amphibians and reptiles in the Nyirkai Hany Keleti Mórrétek wetland restoration area, Hanság, Hungary in the first year following inundation)",journal article,"",27,2003
Assessment,,"",67862807,"Kovács, T.","","",,2865,Bombina bombina,"","","","",2,"","","",FrogLog,"","",Published,Monitoring of amphibians and reptiles along the Drava River,journal article,"",52,2002
Assessment,,"",67862807,"Kovács, T. and Papp, M.","","",,2865,Bombina bombina,"","","","",2-3,"","","",FrogLog,"","",Published,Breeding pond survey in Hungary: and example of sucessful cooperation,journal article,"",50,2002
Assessment,,"",67862807,"Cogalniceanu, D. and Miaud, C.","","",,2865,Bombina bombina,"","","","",1096-1106,"","","",Canadian Journal of Zoology,"","",Published,Population age structure and growth of four syntopic amphibian species inhabiting a large river floodplain,journal article,"",81,2003
Assessment,,,67862807,"Fog, K., Schmedes, A. and Rosenørn de Lasson, D.",,,,2865,Bombina bombina,,,,,,Copenhagen,G.E.C. Gads Forlag,,,,,,The amphibians and reptiles of the Nordic countries,Book,,,1997
Assessment,,"",67862807,"Fodor, A. and Puky, M.","","",,2865,Bombina bombina,"","","","",45-52,"","","",Opuscula Zoologica. Budapest,"","",Published,Herpetological methods: II. Protocol for monitoring amphibian deformities under temperate zone conditions,journal article,"",34,2002
Assessment,,"",67862807,"Özeti, N. and Yilmaz, I.","","",,2865,Bombina bombina,"","",9(1),"","","","","",Journal of Faculty of Science Ege University Series B,"","",Published,On a new form of Bombina bombina from northwest Anatolia,journal article,"","",1987
Assessment,,"",67862807,"Atatür, M.K. and Yilmaz, I.","","",,2865,Bombina bombina,"","","","",135-140,"","","",Amphibia-Reptilia,"","",Published,A comparison of the amphibian fauna of Turkish Thrace with that of Anatolia and Balkan States,journal article,"",7,1986
Assessment,,"",67862807,"Puky, M. and Fodor, A.","","",,2865,Bombina bombina,"","","","",845-852,"","","",Limnological Reports of the International Association for Danube Research,"","",Published,"Occurrence of amphibian deformities along the Hungarian section of the River Danube, Tisza and Ipoly",journal article,"",34,2002
Assessment,,"",67862807,"Sparreboom, M. and Arntzen, A.","","",,2865,Bombina bombina,"","",9,"",27-34,"","","",Herpetofauna,"","",Published,"Über die Amphibien in der Umgebung von Adapazari, Türkei",journal article,"",50,1987
Assessment,,"",67862807,"Arntzen, J.W.","","",,2865,Bombina bombina,"","","","",339-345,"","","",Journal of Biogeography,"","",Published,"Some hypotheses on postglacial migration of the Fire-bellied toad, <i>Bombina bombina</i> and the Yellow-bellied toad, <i>Bombina variegata</i>",journal article,"",5,1978
Assessment,,"",67862807,"Fromhage, L., Vences, M. and Veith, M.","","",,2865,Bombina bombina,"","",1,"",308-322,"","","",Molecular Phylogenetics and Evolution,"","",Published,Testing alternative vicariance scenarios in Western Mediterranean discoglossid frogs,journal article,"",31,2004
Assessment,,"",67862807,"Corbett, K.","","",,2865,Bombina bombina,"",amphibians reptiles conservation Europe profiles snakes lizards frogs toads salamanders newts,"","",274,London,Christopher Helm,"","","","",Published,Conservation of European reptiles and amphibians,book,"","",1989
Assessment,,,67862807,"Botnariuc, N. and Tatole, V. eds.",,,,2865,Bombina bombina,,,,,,,,,,,,,Cartea Rosie a vertebratelor din România. Museul National de Istorie Naturala “Grigore antipa”,Book,,,2005
Assessment,,"",67862807,"Özeti, N. and Yilmaz, I.","","",,2865,Bombina bombina,"","","","",221,"","","",Ege Üniversitesi Fen Fakültesi Kitaplar Serisi,"","",Published,Türkiye amphibileri,journal article,"",151,1994
