internal_taxon_id,internal_taxon_name,language,name,primary
82496838,Hyla arborea,Hungarian,Zöld levelibéka,FALSE
82496838,Hyla arborea,"Greek, Modern (1453-)",Δενδροβάτραχος,FALSE
82496838,Hyla arborea,Macedonian,Гаталинка,FALSE
82496838,Hyla arborea,English,European Tree Frog,TRUE
88104000,Triturus macedonicus,Bosnian,Makedonski krestasti vodenjak,FALSE
88104000,Triturus macedonicus,Bulgarian,Mакедонски гребенест тритон,FALSE
88104000,Triturus macedonicus,Albanian,Tritoni me kreshtë,FALSE
88104000,Triturus macedonicus,"Greek, Modern (1453-)",Μακεδονικός τρίτωνας,FALSE
88104000,Triturus macedonicus,Serbian,Македонски велики мрмољак,FALSE
88104000,Triturus macedonicus,Macedonian,Македонски мрморец,FALSE
88104000,Triturus macedonicus,English,Macedonian Crested Newt,TRUE
88416883,Pelophylax lessonae,Hungarian,Kis tavibéka,FALSE
88416883,Pelophylax lessonae,Italian,Rana di Lessona,FALSE
88416883,Pelophylax lessonae,Italian,Rana Verde Minore,FALSE
88416883,Pelophylax lessonae,Polish,Zaba Jeziorkowa,FALSE
88416883,Pelophylax lessonae,Russian,Прудoвaя Лягушка,FALSE
88416883,Pelophylax lessonae,English,Pool Frog,TRUE
114139495,Pelodytes atlanticus,English,Lusitanian Parsley Frog,TRUE
172312067,Pelobates balcanicus,English,Βαλκανικός Πηλοβάτης,FALSE
172312067,Pelobates balcanicus,English,Πηλοβάτης της Χλόης,FALSE
172312067,Pelobates balcanicus,English,Balkan Spadefoot,TRUE
172962880,Bufotes cypriensis,English,Cyprus Green Toad,TRUE
173103952,Rana parvipalmata,Spanish; Castilian,Rana galaica,FALSE
173103952,Rana parvipalmata,English,Galician Common Frog,TRUE
173115779,Discoglossus galganoi,English,Iberian Painted Frog,TRUE
178591974,Alytes obstetricans,Spanish; Castilian,Sapo Partero Común,FALSE
178591974,Alytes obstetricans,English,Common Midwife Toad,TRUE
178592041,Alytes almogavarii,English,Catalonian Midwife Toad,TRUE
196236126,Pelobates fuscus,English,Common Spadefoot Toad,FALSE
196236126,Pelobates fuscus,English,European Common Spadefoot,FALSE
196236126,Pelobates fuscus,Hungarian,Barna ásóbéka,FALSE
196236126,Pelobates fuscus,Croatian,Češnjača,FALSE
196236126,Pelobates fuscus,Polish,Grzebiuszka Ziemna,FALSE
