CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceLookup,CountryOccurrence.CountryOccurrenceSubfield.CountryOccurrenceName,CountryOccurrence.CountryOccurrenceSubfield.formerlyBred,CountryOccurrence.CountryOccurrenceSubfield.origin,CountryOccurrence.CountryOccurrenceSubfield.presence,CountryOccurrence.CountryOccurrenceSubfield.seasonality,assessment_id,internal_taxon_id,internal_taxon_name
SPA-SP,,,Native,Extant,Resident,227233345,19183,Rana pyrenaica
AL,,,Native,Extant,Resident,227233771,19843,Salamandra atra
AT,,,Native,Extant,Resident,227233771,19843,Salamandra atra
BA,,,Native,Extant,Resident,227233771,19843,Salamandra atra
HR,,,Native,Extant,Resident,227233771,19843,Salamandra atra
FR,,,Native,Extant,Resident,227233771,19843,Salamandra atra
RS,,,Native,Extant,Resident,227233771,19843,Salamandra atra
FRA-FR,,,Native,Extant,Resident,227233771,19843,Salamandra atra
DE,,,Native,Extant,Resident,227233771,19843,Salamandra atra
IT,,,Native,Extant,Resident,227233771,19843,Salamandra atra
SI,,,Native,Extant,Resident,227233771,19843,Salamandra atra
ITA-IT,,,Native,Extant,Resident,227233771,19843,Salamandra atra
LI,,,Native,Extant,Resident,227233771,19843,Salamandra atra
ME,,,Native,Extant,Resident,227233771,19843,Salamandra atra
CH,,,Native,Extant,Resident,227233771,19843,Salamandra atra
YUG-KO,,,Native,Extant,Resident,227233771,19843,Salamandra atra
BG,,,Native,Extant,Resident,227237457,22216,Triturus dobrogicus
AT,,,Native,Extant,Resident,227237457,22216,Triturus dobrogicus
BA,,,Native,Extant,Resident,227237457,22216,Triturus dobrogicus
HR,,,Native,Extant,Resident,227237457,22216,Triturus dobrogicus
CZ,,,Native,Extant,Resident,227237457,22216,Triturus dobrogicus
HU,,,Native,Extant,Resident,227237457,22216,Triturus dobrogicus
RO,,,Native,Extant,Resident,227237457,22216,Triturus dobrogicus
UA,,,Native,Extant,Resident,227237457,22216,Triturus dobrogicus
UKR-UK,,,Native,Extant,Resident,227237457,22216,Triturus dobrogicus
RS,,,Native,Extant,Resident,227237457,22216,Triturus dobrogicus
YUG-SE,,,Native,Extant,Resident,227237457,22216,Triturus dobrogicus
