infraType,infrarankAuthor,infrarankName,internal_taxon_id,internal_taxon_name,name,speciesAuthor,speciesName
,,,82496838,Hyla arborea,"Rana arborea Linnaeus, 1758","Linnaeus, 1758",arborea
variety,"Karaman, 1922",macedonica,88104000,Triturus macedonicus,"Molge karelinii var. macedonica Karaman, 1922",,karelinii
subspecies,"Litvinchuk, Borkin, Dzukic, Kalezic, 1999",arntzeni,88104000,Triturus macedonicus,"Triturus karelinii ssp. arntzeni Litvinchuk, Borkin, Dzukic, Kalezic, 1999",,karelinii
,,,88416883,Pelophylax lessonae,"Pelophylax hispanicus (Bonaparte, 1839)","(Bonaparte, 1839)",hispanicus
,,,88416883,Pelophylax lessonae,"Pelophylax esculentus (Linnaeus, 1758)","(Linnaeus, 1758)",esculentus
,,,88416883,Pelophylax lessonae,"Pelophylax bergeri (Günther in Engelmann, Fritzsche, Günther &amp; Obst, 1986)","(Günther in Engelmann, Fritzsche, Günther &amp; Obst, 1986)",bergeri
variety,"Camerano, 1882",lessonae,88416883,Pelophylax lessonae,"Rana esculenta var. lessonae Camerano, 1882",,esculenta
,,,88416883,Pelophylax lessonae,"Rana meridionalis (Lataste, 1876)","(Lataste, 1876)",meridionalis 
,,,88416883,Pelophylax lessonae,"Rana esculenta acutirostris (Lessona, 1877)","(Lessona, 1877)",esculenta acutirostris
,,,88416883,Pelophylax lessonae,"Rana esculenta obtusirostris (Lessona, 1877)","(Lessona, 1877)",esculenta obtusirostris 
,,,88416883,Pelophylax lessonae,"Rana esculenta var. lessonae (Camerano, 1882)","(Camerano, 1882)",esculenta var. lessonae 
,,,88416883,Pelophylax lessonae,"Rana esculenta lessonae var. immaculata (Camerano, 1884)","(Camerano, 1884)",esculenta lessonae var. immaculata
,,,88416883,Pelophylax lessonae,"Rana esculenta lessonae var. maculata (Camerano, 1884)","(Camerano, 1884)",esculenta lessonae var. maculata 
,,,88416883,Pelophylax lessonae,"Rana esculenta var. bolkayi (Fejérváry, 1909)","(Fejérváry, 1909)",esculenta var. bolkayi 
,,,88416883,Pelophylax lessonae,"Rana lessonae pannonica (Karaman, 1948)","(Karaman, 1948)",lessonae pannonica 
subspecies,"Karaman, 1928",balcanicus,172312067,Pelobates balcanicus,"Pelobates syriacus ssp. balcanicus Karaman, 1928",,syriacus
subspecies,"López-Seoane, 1885",parvipalmata,173103952,Rana parvipalmata,"Rana temporaria ssp. parvipalmata López-Seoane, 1885",,temporaria
,,,173115779,Discoglossus galganoi,"Discoglossus jeanneae Busack, 1986","Busack, 1986",jeanneae
,,,178591974,Alytes obstetricans,"Bufo obstetricans Laurenti, 1768","Laurenti, 1768",obstetricans
