Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority
59479,,AMPHIBIA,SALAMANDRIDAE,Triturus,,,,59479,Triturus pygmaeus,ANIMALIA,CAUDATA,CHORDATA,pygmaeus,"(Wolterstorff, 1905)"
153567,"Dufresnes&#160;<em>et al</em>.&#160;(2019) revised the taxonomy of the&#160;<em>B. viridis</em>&#160;complex, synonymizing&#160;<em>B. balearicus</em>&#160;and&#160;<em>Bufo variabilis</em>&#160;within it.",AMPHIBIA,BUFONIDAE,Bufotes,,,,153567,Bufotes balearicus,ANIMALIA,ANURA,CHORDATA,balearicus,"(Boettger, 1880)"
77970289,"There is ongoing debate about the distinctiveness between this species and <em>Bombina pachypus</em> (e.g. Hofman <em>et al.</em> 2007, Speybroeck <em>et al.</em> 2010, Fijarczyk <em>et al.</em> 2011). <em>Bombina pachypus</em> was synonymized with this species by Pabijan <em>et al</em>. (2013), however, consider this taxon as an incipient species.<br/><br/>We follow multiple European checklists (e.g. Speybroeck <em>et al.</em> 2010, Sillero <em>et al</em>. 2014, Speybroeck <em>et al.</em> 2020) and retain <em>B. pachypus</em> as a synonym of this species and should be considered valid at subspecies level (<em>B.v. pachypus</em>). Frost (2022) also treats<em> B. pachypus</em> as a synonym.",AMPHIBIA,BOMBINATORIDAE,Bombina,,,,77970289,Bombina variegata,ANIMALIA,ANURA,CHORDATA,variegata,"(Linnaeus, 1758)"
79077482,"<p>Elevated from subspecies level of&#160;<em>Lissotriton vulgaris</em>&#160;by Dubois and Raffaëlli (2009), validated by Wielstra <em>et al. </em>(2018).</p>",AMPHIBIA,SALAMANDRIDAE,Lissotriton,,,,79077482,Lissotriton graecus,ANIMALIA,CAUDATA,CHORDATA,graecus,"(Wolterstorff, 1906)"
79078647,"This is a restricted concept of this species following the split of the broader concept into this and <em>Lissotriton graecus</em>, <em>L. kosswigi</em> and <em>L. lantzi</em> (Dubois and Raffaëlli 2009).<br/><br/><em>L. schmidtleri</em>, assigned as a separate species by Pabijan<em>et al.</em> 2017 and Wielstra <em>et al.</em> (2018), has been recognized as a subspecies of <em>L. vulgaris</em> by <em>Taxonomic Committee of Societas Europaea Herpetologica</em>, who require more information on contact zones between<em> L. v. schmidtleri</em> and <em>L. v. vulgaris</em> before the species rank of <em>schmidtleri</em> can be accepted, and maintain both <em>L. v. schmidtleri</em> and <em>L. v. lantzi</em>, as subspecies of <em>L. vulgaris</em> (Speybroeck <em>et al.</em> 2020). However, this assessment follows <em>Amphibian Species of the World</em> (Frost 2021) in recognising both <em>L. schmidtleri</em> and <em>L. lantzi</em> as valid species.",AMPHIBIA,SALAMANDRIDAE,Lissotriton,,,,79078647,Lissotriton vulgaris,ANIMALIA,CAUDATA,CHORDATA,vulgaris,"(Linnaeus, 1758)"
79079411,"This is a restricted concept of this species following the split of the broader concept into this and <em>Lissotriton maltzani</em> (Sequiera <em>et al</em>. 2020, Speybroeck <em>et al</em>. 2020).",AMPHIBIA,SALAMANDRIDAE,Lissotriton,,,,79079411,Lissotriton boscai,ANIMALIA,CAUDATA,CHORDATA,boscai,"(Lataste, 1879)"
82493101,"This was previously considered a subspecies of <em>H</em><em>yla arborea, </em>until it was elevated to species status by Stöck <em>et al.</em> (2008).",AMPHIBIA,HYLIDAE,Hyla,,,,82493101,Hyla molleri,ANIMALIA,ANURA,CHORDATA,molleri,"Bedriaga, 1889"
82496838,"This is a restricted concept of this species following the split of the broader concept into this, <em>Hyla molleri </em>and<em> H. orientalis</em>, which were both elevated from subspecies level (Stöck <em>et al</em>. 2008).",AMPHIBIA,HYLIDAE,Hyla,,,,82496838,Hyla arborea,ANIMALIA,ANURA,CHORDATA,arborea,"(Linnaeus, 1758)"
88104000,"<em>Triturus cristatus</em> was formerly considered to include four subspecies: <em>T. cristatus cristatus</em>; <em>T. cristatus dobrogicus</em>; <em>T. cristatus karelinii</em>; and <em>T. cristatus carnifex</em>. These are now recognized as separate species under the <em>Triturus cristatus</em> superspecies. On the basis of results of molecular genetic analyses, <em>Triturus carnifex</em> has been split into <em>Triturus carnifex</em> <em>s.l.</em> and <em>Triturus macedonicus</em>.",AMPHIBIA,SALAMANDRIDAE,Triturus,,,,88104000,Triturus macedonicus,ANIMALIA,CAUDATA,CHORDATA,macedonicus,"(Karaman, 1922)"
88416883,,AMPHIBIA,RANIDAE,Pelophylax,,,,88416883,Pelophylax lessonae,ANIMALIA,ANURA,CHORDATA,lessonae,"(Camerano, 1882)"
114139495,This is a split from the broader concept of <em>Pelodytes punctatus</em> (Díaz-Rodríguez <em>et al</em>. 2017).,AMPHIBIA,PELODYTIDAE,Pelodytes,,,,114139495,Pelodytes atlanticus,ANIMALIA,ANURA,CHORDATA,atlanticus,"Díaz-Rodríguez, Gehara, Márquez, Vences, Gonçalves, Sequeira, Martínez-Solano &amp; Tejedo, 2017"
172312067,This is a split from the broader concept of <em>Pelobates syriacus</em> (Dufresnes <em>et al.</em> 2019).,AMPHIBIA,PELOBATIDAE,Pelobates,,,,172312067,Pelobates balcanicus,ANIMALIA,ANURA,CHORDATA,balcanicus,"Karaman, 1928"
172962880,,AMPHIBIA,BUFONIDAE,Bufotes,,,,172962880,Bufotes cypriensis,ANIMALIA,ANURA,CHORDATA,cypriensis,"Litvinchuk, Mazepa, Jablonski, Dufresnes, 2019"
173103952,"This is a split from <em>Rana temporaria</em>, where it was previously considered a subspecies (Dufresnes <em>et al</em>. 2020).",AMPHIBIA,RANIDAE,Rana,,,,173103952,Rana parvipalmata,ANIMALIA,ANURA,CHORDATA,parvipalmata,"López-Seoane, 1885"
173115779,<em>Discoglossus jeanneae</em> has been synonymized under this species by Dufresnes <em>et al.</em> (2020).,AMPHIBIA,ALYTIDAE,Discoglossus,,,,173115779,Discoglossus galganoi,ANIMALIA,ANURA,CHORDATA,galganoi,"Capula, Nascetti, Lanza, Bullini &amp; Crespo, 1985"
178591974,"This is a restricted concept of this species following the split of the broader concept into this and <em>Alytes almogavarii</em>, which was previously considered to be a subspecies (Dufresnes and Martínez-Solano 2020).",AMPHIBIA,ALYTIDAE,Alytes,,,,178591974,Alytes obstetricans,ANIMALIA,ANURA,CHORDATA,obstetricans,"(Laurenti, 1768)"
178592041,"This is a split from the broader concept of <em>Alytes&#160;obstetricans</em>, for which it was previously considered to be a subspecies (Dufresnes and&#160;Martínez-Solano&#160;2020).",AMPHIBIA,ALYTIDAE,Alytes,,,,178592041,Alytes almogavarii,ANIMALIA,ANURA,CHORDATA,almogavarii,"Arntzen and García-París, 1995"
196236126,"This is a restricted concept of this species following the split of the broader concept into this and <em>Pelobates vespertinus</em>, which has been removed from synonymy of this species<em> </em>(Litvinchuk <em>et al</em>. 2013, Suryadnaya 2014).<br/><br/>Following genetic analysis, some subpopulations from Russia and those from Kazakhstan have now been assigned to <em>Pelobates vespertinus</em> which had been removed from synonymy of this species (Suryadnaya 2014). There is a hybrid zone in northeastern Ukraine and the Russian province of Kursk between the range of this species and <em>P. vespertinus</em>.",AMPHIBIA,PELOBATIDAE,Pelobates,,,,196236126,Pelobates fuscus,ANIMALIA,ANURA,CHORDATA,fuscus,"(Laurenti, 1768)"
19845,,AMPHIBIA,SALAMANDRIDAE,Salamandra,,,,19845,Salamandra lanzai,ANIMALIA,CAUDATA,CHORDATA,lanzai,"Nascetti, Capula &amp; Bullini, 1988"
20454,,AMPHIBIA,PLETHODONTIDAE,Speleomantes,,,,20454,Speleomantes ambrosii,ANIMALIA,CAUDATA,CHORDATA,ambrosii,"(Lanza, 1955)"
20458,,AMPHIBIA,PLETHODONTIDAE,Speleomantes,,,,20458,Speleomantes italicus,ANIMALIA,CAUDATA,CHORDATA,italicus,"(Dunn, 1923)"
59405,,AMPHIBIA,PLETHODONTIDAE,Speleomantes,,,,59405,Speleomantes strinatii,ANIMALIA,CAUDATA,CHORDATA,strinatii,"(Aellen, 1958)"
59467,"This account follows the suggested <em>Salamandra</em> monophyletic group distribution presented in Steinfartz&#160;<em>et al.</em> (2000). See also Burgon <em>et al.</em>&#160;(2021).<br/><br/>The identity of some subpopulations of <em>Salamandra</em> species reported from western Anatolia (Türkiye) require further investigation and are not included within this concept, although Frost (2022) notes that it is expected to occur there.",AMPHIBIA,SALAMANDRIDAE,Salamandra,,,,59467,Salamandra salamandra,ANIMALIA,CAUDATA,CHORDATA,salamandra,"(Linnaeus, 1758)"
59477,,AMPHIBIA,SALAMANDRIDAE,Triturus,,,,59477,Triturus marmoratus,ANIMALIA,CAUDATA,CHORDATA,marmoratus,"(Latreille, 1800)"
136131,,AMPHIBIA,SALAMANDRIDAE,Calotriton,,,,136131,Calotriton arnoldi,ANIMALIA,CAUDATA,CHORDATA,arnoldi,"Carranza &amp; Amat, 2005"
136135,We follow Mattoccia <em>et al.</em> (2005) and Canestrelli <em>et al.</em> (2006) in separating <em>Salamandrina perspicillata</em> from <em>S. terdigitata</em>.,AMPHIBIA,SALAMANDRIDAE,Salamandrina,,,,136135,Salamandrina perspicillata,ANIMALIA,CAUDATA,CHORDATA,perspicillata,"(Savi, 1821)"
173111497,"This is a restricted concept of this species following the split of the broader concept into this and <em>Pelodytes atlanticus</em> (Díaz-Rodríguez <em>et al</em>. 2017). It was thought that subpopulations in low and mid-elevation montane areas of eastern and central Spain did actually belong to <em>P. hespericus</em> (Díaz-Rodríguez <em>et al</em>. 2017), however the two species are thought to be conspecific (Dufresnes <em>et al</em>. 2020).",AMPHIBIA,PELODYTIDAE,Pelodytes,,,,173111497,Pelodytes punctatus,ANIMALIA,ANURA,CHORDATA,punctatus,"(Daudin, 1802)"
214696589,"Some of the subpopulations north of the Alps, in Austria and Germany, show degrees of hybridization with <em>Triturus cristatus</em> and with <em>T. dobrogicus</em> (Mačát <em>et al</em>. 2019, Wielstra <em>et al.</em> 2021). <em>Triturus carnifex</em> is not included in the German list as all subpopulations there are considered hybrids (Fahrbach <em>et al</em> 2021).<br/><br/>The exact ranges of members of the <em>Triturus cristatus</em> superspecies are unclear in the central Balkans. The former subspecies <em>macedonicus </em>has been split off as a separate species following Arntzen <em>et al</em>. (2007).",AMPHIBIA,SALAMANDRIDAE,Triturus,,,,214696589,Triturus carnifex,ANIMALIA,CAUDATA,CHORDATA,carnifex,"(Laurenti, 1768)"
