Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,internal_taxon_name,kingdom,ordername,phylum,species,taxonomicAuthority
77970289,"There is ongoing debate about the distinctiveness between this species and Bombina pachypus (e.g. Hofman et al. 2007, Speybroeck et al. 2010, Fijarczyk et al. 2011). Bombina pachypus was synonymized with this species by Pabijan et al. (2013), however, consider this taxon as an incipient species.  We follow multiple European checklists (e.g. Speybroeck et al. 2010, Sillero et al. 2014, Speybroeck et al. 2020) and retain B. pachypus as a synonym of this species and should be considered valid at subspecies level (B.v. pachypus). Frost (2022) also treats B. pachypus as a synonym.",AMPHIBIA,BOMBINATORIDAE,Bombina,,,,77970289,Bombina variegata,ANIMALIA,ANURA,CHORDATA,variegata,"(Linnaeus, 1758)"
79077482," Elevated from subspecies level of&nbsp;Lissotriton vulgaris&nbsp;by Dubois and Raffaëlli (2009), validated by Wielstra et al. (2018). ",AMPHIBIA,SALAMANDRIDAE,Lissotriton,,,,79077482,Lissotriton graecus,ANIMALIA,CAUDATA,CHORDATA,graecus,"(Wolterstorff, 1906)"
79078647,"This is a restricted concept of this species following the split of the broader concept into this and Lissotriton graecus, L. kosswigi and L. lantzi (Dubois and Raffaëlli 2009).  L. schmidtleri, assigned as a separate species by Pabijanet al. 2017 and Wielstra et al. (2018), has been recognized as a subspecies of L. vulgaris by Taxonomic Committee of Societas Europaea Herpetologica, who require more information on contact zones between L. v. schmidtleri and L. v. vulgaris before the species rank of schmidtleri can be accepted, and maintain both L. v. schmidtleri and L. v. lantzi, as subspecies of L. vulgaris (Speybroeck et al. 2020). However, this assessment follows Amphibian Species of the World (Frost 2021) in recognising both L. schmidtleri and L. lantzi as valid species.",AMPHIBIA,SALAMANDRIDAE,Lissotriton,,,,79078647,Lissotriton vulgaris,ANIMALIA,CAUDATA,CHORDATA,vulgaris,"(Linnaeus, 1758)"
79079411,"This is a restricted concept of this species following the split of the broader concept into this and Lissotriton maltzani (Sequiera et al. 2020, Speybroeck et al. 2020).",AMPHIBIA,SALAMANDRIDAE,Lissotriton,,,,79079411,Lissotriton boscai,ANIMALIA,CAUDATA,CHORDATA,boscai,"(Lataste, 1879)"
82493101,"This was previously considered a subspecies of Hyla arborea, until it was elevated to species status by Stöck et al. (2008).",AMPHIBIA,HYLIDAE,Hyla,,,,82493101,Hyla molleri,ANIMALIA,ANURA,CHORDATA,molleri,"Bedriaga, 1889"
82496838,"This is a restricted concept of this species following the split of the broader concept into this, Hyla molleri and H. orientalis, which were both elevated from subspecies level (Stöck et al. 2008).",AMPHIBIA,HYLIDAE,Hyla,,,,82496838,Hyla arborea,ANIMALIA,ANURA,CHORDATA,arborea,"(Linnaeus, 1758)"
88104000,"Triturus cristatus was formerly considered to include four subspecies: T. cristatus cristatus; T. cristatus dobrogicus; T. cristatus karelinii; and T. cristatus carnifex. These are now recognized as separate species under the Triturus cristatus superspecies. On the basis of results of molecular genetic analyses, Triturus carnifex has been split into Triturus carnifex s.l. and Triturus macedonicus.",AMPHIBIA,SALAMANDRIDAE,Triturus,,,,88104000,Triturus macedonicus,ANIMALIA,CAUDATA,CHORDATA,macedonicus,"(Karaman, 1922)"
88416883,,AMPHIBIA,RANIDAE,Pelophylax,,,,88416883,Pelophylax lessonae,ANIMALIA,ANURA,CHORDATA,lessonae,"(Camerano, 1882)"
114139495,This is a split from the broader concept of Pelodytes punctatus (Díaz-Rodríguez et al. 2017).,AMPHIBIA,PELODYTIDAE,Pelodytes,,,,114139495,Pelodytes atlanticus,ANIMALIA,ANURA,CHORDATA,atlanticus,"Díaz-Rodríguez, Gehara, Márquez, Vences, Gonçalves, Sequeira, Martínez-Solano &amp; Tejedo, 2017"
172312067,This is a split from the broader concept of Pelobates syriacus (Dufresnes et al. 2019).,AMPHIBIA,PELOBATIDAE,Pelobates,,,,172312067,Pelobates balcanicus,ANIMALIA,ANURA,CHORDATA,balcanicus,"Karaman, 1928"
172962880,,AMPHIBIA,BUFONIDAE,Bufotes,,,,172962880,Bufotes cypriensis,ANIMALIA,ANURA,CHORDATA,cypriensis,"Litvinchuk, Mazepa, Jablonski, Dufresnes, 2019"
173103952,"This is a split from Rana temporaria, where it was previously considered a subspecies (Dufresnes et al. 2020).",AMPHIBIA,RANIDAE,Rana,,,,173103952,Rana parvipalmata,ANIMALIA,ANURA,CHORDATA,parvipalmata,"López-Seoane, 1885"
173115779,Discoglossus jeanneae has been synonymized under this species by Dufresnes et al. (2020).,AMPHIBIA,ALYTIDAE,Discoglossus,,,,173115779,Discoglossus galganoi,ANIMALIA,ANURA,CHORDATA,galganoi,"Capula, Nascetti, Lanza, Bullini &amp; Crespo, 1985"
178591974,"This is a restricted concept of this species following the split of the broader concept into this and Alytes almogavarii, which was previously considered to be a subspecies (Dufresnes and Martínez-Solano 2020).",AMPHIBIA,ALYTIDAE,Alytes,,,,178591974,Alytes obstetricans,ANIMALIA,ANURA,CHORDATA,obstetricans,"(Laurenti, 1768)"
178592041,"This is a split from the broader concept of Alytes&nbsp;obstetricans, for which it was previously considered to be a subspecies (Dufresnes and&nbsp;Martínez-Solano&nbsp;2020).",AMPHIBIA,ALYTIDAE,Alytes,,,,178592041,Alytes almogavarii,ANIMALIA,ANURA,CHORDATA,almogavarii,"Arntzen and García-París, 1995"
196236126,"This is a restricted concept of this species following the split of the broader concept into this and Pelobates vespertinus, which has been removed from synonymy of this species (Litvinchuk et al. 2013, Suryadnaya 2014).  Following genetic analysis, some subpopulations from Russia and those from Kazakhstan have now been assigned to Pelobates vespertinus which had been removed from synonymy of this species (Suryadnaya 2014). There is a hybrid zone in northeastern Ukraine and the Russian province of Kursk between the range of this species and P. vespertinus.",AMPHIBIA,PELOBATIDAE,Pelobates,,,,196236126,Pelobates fuscus,ANIMALIA,ANURA,CHORDATA,fuscus,"(Laurenti, 1768)"
19845,,AMPHIBIA,SALAMANDRIDAE,Salamandra,,,,19845,Salamandra lanzai,ANIMALIA,CAUDATA,CHORDATA,lanzai,"Nascetti, Capula &amp; Bullini, 1988"
20454,,AMPHIBIA,PLETHODONTIDAE,Speleomantes,,,,20454,Speleomantes ambrosii,ANIMALIA,CAUDATA,CHORDATA,ambrosii,"(Lanza, 1955)"
20458,,AMPHIBIA,PLETHODONTIDAE,Speleomantes,,,,20458,Speleomantes italicus,ANIMALIA,CAUDATA,CHORDATA,italicus,"(Dunn, 1923)"
59405,,AMPHIBIA,PLETHODONTIDAE,Speleomantes,,,,59405,Speleomantes strinatii,ANIMALIA,CAUDATA,CHORDATA,strinatii,"(Aellen, 1958)"
59467,"This account follows the suggested Salamandra monophyletic group distribution presented in Steinfartz&nbsp;et al. (2000). See also Burgon et al.&nbsp;(2021).  The identity of some subpopulations of Salamandra species reported from western Anatolia (Türkiye) require further investigation and are not included within this concept, although Frost (2022) notes that it is expected to occur there.",AMPHIBIA,SALAMANDRIDAE,Salamandra,,,,59467,Salamandra salamandra,ANIMALIA,CAUDATA,CHORDATA,salamandra,"(Linnaeus, 1758)"
59477,,AMPHIBIA,SALAMANDRIDAE,Triturus,,,,59477,Triturus marmoratus,ANIMALIA,CAUDATA,CHORDATA,marmoratus,"(Latreille, 1800)"
136131,,AMPHIBIA,SALAMANDRIDAE,Calotriton,,,,136131,Calotriton arnoldi,ANIMALIA,CAUDATA,CHORDATA,arnoldi,"Carranza &amp; Amat, 2005"
136135,We follow Mattoccia et al. (2005) and Canestrelli et al. (2006) in separating Salamandrina perspicillata from S. terdigitata.,AMPHIBIA,SALAMANDRIDAE,Salamandrina,,,,136135,Salamandrina perspicillata,ANIMALIA,CAUDATA,CHORDATA,perspicillata,"(Savi, 1821)"
173111497,"This is a restricted concept of this species following the split of the broader concept into this and Pelodytes atlanticus (Díaz-Rodríguez et al. 2017). It was thought that subpopulations in low and mid-elevation montane areas of eastern and central Spain did actually belong to P. hespericus (Díaz-Rodríguez et al. 2017), however the two species are thought to be conspecific (Dufresnes et al. 2020).",AMPHIBIA,PELODYTIDAE,Pelodytes,,,,173111497,Pelodytes punctatus,ANIMALIA,ANURA,CHORDATA,punctatus,"(Daudin, 1802)"
214696589,"Some of the subpopulations north of the Alps, in Austria and Germany, show degrees of hybridization with Triturus cristatus and with T. dobrogicus (Mačát et al. 2019, Wielstra et al. 2021). Triturus carnifex is not included in the German list as all subpopulations there are considered hybrids (Fahrbach et al 2021).  The exact ranges of members of the Triturus cristatus superspecies are unclear in the central Balkans. The former subspecies macedonicus has been split off as a separate species following Arntzen et al. (2007).",AMPHIBIA,SALAMANDRIDAE,Triturus,,,,214696589,Triturus carnifex,ANIMALIA,CAUDATA,CHORDATA,carnifex,"(Laurenti, 1768)"
