AOO.justification,AOO.range,AOOContinuingDecline.isInContinuingDecline,AOOContinuingDecline.justification,AOOContinuingDecline.qualifier,AOODetails.breedingRange,AOODetails.breedingRangeJustification,AOODetails.nonbreedingRange,AOODetails.nonbreedingRangeJustification,AOOExtremeFluctuation.isFluctuating,AOOExtremeFluctuation.justification,AreaRestricted.isRestricted,AreaRestricted.justification,AvgAnnualFecundity.fecundity,AvgReproductiveAge.age,AvgReproductiveAge.units,BirthSize.size,Congregatory.value,CropWildRelative.isRelative,CurrentTrendDataDerivation.value,DepthLower.limit,DepthUpper.limit,DepthZone.depthZone,EOO.justification,EOO.range,EOOContinuingDecline.isContinuingDecline,EOOContinuingDecline.justification,EOOContinuingDecline.qualifier,EOODetails.breedingRange,EOODetails.nonbreedingRange,EOOExtremeFluctuation.isFluctuating,EOOExtremeFluctuation.justification,EggLaying.layEggs,ElevationLower.limit,ElevationUpper.limit,ExtinctionProbabilityGenerations3.justification,ExtinctionProbabilityGenerations3.range,ExtinctionProbabilityGenerations5.justification,ExtinctionProbabilityGenerations5.range,ExtinctionProbabilityYears100.justification,ExtinctionProbabilityYears100.range,FemaleMaturityAge.age,FemaleMaturityAge.units,FemaleMaturitySize.size,FreeLivingLarvae.hasStage,GenerationLength.justification,GenerationLength.quality,GenerationLength.range,GestationTime.time,GestationTime.units,HabitatContinuingDecline.isDeclining,HabitatContinuingDecline.justification,HabitatContinuingDecline.qualifier,IdentificationDescription.text,InPlaceEducationControlled.note,InPlaceEducationControlled.value,InPlaceEducationInternationalLegislation.note,InPlaceEducationInternationalLegislation.value,InPlaceEducationSubjectToPrograms.note,InPlaceEducationSubjectToPrograms.value,InPlaceLandWaterProtectionAreaPlanned.note,InPlaceLandWaterProtectionAreaPlanned.value,InPlaceLandWaterProtectionInPA.note,InPlaceLandWaterProtectionInPA.value,InPlaceLandWaterProtectionInvasiveControl.note,InPlaceLandWaterProtectionInvasiveControl.value,InPlaceLandWaterProtectionPercentProtected.note,InPlaceLandWaterProtectionPercentProtected.value,InPlaceLandWaterProtectionSitesIdentified.note,InPlaceLandWaterProtectionSitesIdentified.value,InPlaceResearchMonitoringScheme.note,InPlaceResearchMonitoringScheme.value,InPlaceResearchRecoveryPlan.note,InPlaceResearchRecoveryPlan.value,InPlaceSpeciesManagementExSitu.note,InPlaceSpeciesManagementExSitu.value,InPlaceSpeciesManagementHarvestPlan.note,InPlaceSpeciesManagementHarvestPlan.value,InPlaceSpeciesManagementReintroduced.note,InPlaceSpeciesManagementReintroduced.value,LiveBirth.liveBirth,Livelihoods.noInfo,LocationContinuingDecline.inDecline,LocationContinuingDecline.justification,LocationContinuingDecline.qualifier,LocationExtremeFluctuation.isFluctuating,LocationExtremeFluctuation.justification,LocationsNumber.justification,LocationsNumber.range,Longevity.longevity,Longevity.units,MaleMaturityAge.age,MaleMaturityAge.units,MaleMaturitySize.size,MatureIndividualsSubpopulation.value,MaxSize.size,MaxSubpopulationSize.range,MovementPatterns.pattern,NaturalMortality.value,NoThreats.noThreats,NonConsumptiveUse.isNonConsumptiveUse,NonConsumptiveUseDescription.narrative,NotUtilized.isNotUtilized,Parthenogenesis.exhibitsParthenogenesis,PopulationContinuingDecline.isDeclining,PopulationContinuingDecline.justification,PopulationContinuingDecline.qualifier,PopulationDeclineGenerations1.justification,PopulationDeclineGenerations1.qualifier,PopulationDeclineGenerations1.range,PopulationDeclineGenerations2.justification,PopulationDeclineGenerations2.qualifier,PopulationDeclineGenerations2.range,PopulationDeclineGenerations3.justification,PopulationDeclineGenerations3.qualifier,PopulationDeclineGenerations3.range,PopulationExtremeFluctuation.isFluctuating,PopulationExtremeFluctuation.justification,PopulationIncreaseRate.narrative,PopulationReductionFuture.direction,PopulationReductionFuture.justification,PopulationReductionFuture.qualifier,PopulationReductionFuture.range,PopulationReductionFutureBasis.detail,PopulationReductionFutureBasis.value,PopulationReductionPast.direction,PopulationReductionPast.justification,PopulationReductionPast.qualifier,PopulationReductionPast.range,PopulationReductionPastBasis.detail,PopulationReductionPastBasis.value,PopulationReductionPastCeased.value,PopulationReductionPastReversible.value,PopulationReductionPastUnderstood.value,PopulationReductionPastandFuture.direction,PopulationReductionPastandFuture.justification,PopulationReductionPastandFuture.numYears,PopulationReductionPastandFuture.qualifier,PopulationReductionPastandFuture.range,PopulationReductionPastandFutureBasis.detail,PopulationReductionPastandFutureBasis.value,PopulationReductionPastandFutureCeased.value,PopulationReductionPastandFutureReversible.value,PopulationReductionPastandFutureUnderstood.value,PopulationSize.range,ReproductivePeriodicity.value,SevereFragmentation.isFragmented,SevereFragmentation.justification,SubpopulationContinuingDecline.isDeclining,SubpopulationContinuingDecline.justification,SubpopulationContinuingDecline.qualifier,SubpopulationExtremeFluctuation.isFluctuating,SubpopulationExtremeFluctuation.justification,SubpopulationNumber.justification,SubpopulationNumber.range,SubpopulationSingle.value,ThreatsUnknown.value,TrendInDomesticOfftake.value,TrendInWildOfftake.value,UTCaptiveHarvest.value,UTHarvestTrendComments.narrative,UTIntlCommercialValue.value,UTLocalLivelihood.localcommercial,UTLocalLivelihood.localcommercialDetail,UTLocalLivelihood.subsistence,UTLocalLivelihood.subsistenceRationale,UTNatlCommercialValue.value,UseTradeNoInformation.value,WaterBreeding.value,YearOfPopulationEstimate.value,assessment_id,internal_taxon_id,internal_taxon_name
,,Unknown,,,,,,,No,,No,,,,,,,,Suspected,,,,,,No,,,,,No,,Yes,0,2300,,,,,,,,,,Yes,,,,,,,,,,,,This species is listed on Appendix II of the Berne Convention and is listed on Annex IV of the EU Natural Habitats Directive.,Yes,,,,,,Yes,,,,,,,,Yes,,,,Yes,,,,Yes,No,TRUE,Unknown,,,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,Unknown,Unknown,,,Yes,,,No,,Yes,FALSE,Yes,,228182338,82496838,Hyla arborea
,,,,,,,,,,,No,,,,,,,,Suspected,,,,,522050,,,,,,,,Yes,0,2140,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,228182906,82493101,Hyla molleri
,,,,,,,,,,,No,,,,,,,,Inferred,,,,,,,,,,,,,Yes,0,2500,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,Appendix III of the Bern Convention,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,,,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,Unknown,Unknown,,,Yes,,,No,,Yes,FALSE,Yes,,228183943,59472,Ichthyosaura alpestris
,,Unknown,,,,,,,No,,No,,,,,,,,Inferred,,,,,222513,No,,,,,No,,Yes,0,1870,,,,,,,,,,Yes,,,,,,,,,,,,Appendix III of the Bern Convention,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,Unknown,,,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,228184459,79079411,Lissotriton boscai
,1076-2000,Yes,,Inferred,,,,,No,,No,,,,,,,,Inferred,,,,,150000,Yes,,Inferred,,,No,,Yes,0,1500,,,,,,,,,,Yes,,,,,,,,,"Small sized newt, body' cross-section truncate, male' dorsal crest is low and smooth, fringes on hind feet relatively large and of black colour. Tail of males usually ends in a tinny and long filament. Extensive dark-brown or black spots on the back can be seen in both males and females.",,,,,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,Unknown,,,,,,,,Yes,FALSE,Yes,,228184805,79077482,Lissotriton graecus
,,Unknown,,,,,,,No,,No,,,9,Years,,,,Inferred,,,,,,Unknown,,,,,No,,Yes,0,2400,,,,,,,,,,Yes,,,,,,,,,,,,Appendix III of the Bern Convention,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,Unknown,,,No,,,,8,Years,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,228185144,59475,Lissotriton helveticus
,,Unknown,,,,,,,No,,No,,,,,,,,Inferred,,,,,219988,Unknown,,,,,No,,Yes,120,2000,,,,,,,,,,Yes,,,,,,Unknown,,,,,,"Appendix II of the Bern Convention, and Appendix II and IV of EU Habitats Directive ",Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,Unknown,,,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,Unknown,Unknown,,,Yes,,,No,,Yes,FALSE,Yes,,228185921,59478,Lissotriton montandoni
,,,,,,,,,,,No,,,,,,,,Inferred,,,,,533646,,,,,,,,Yes,0,920,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,"Appendix II of the Bern Convention, and on Habitats Directive (Council Directive 92/43/EEC) both as Pelobates syriacus  ",Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,228186498,172312067,Pelobates balcanicus
,,,,,,,,,,,No,,,,,,,,Observed,,,,,,,,,,,,,Yes,0,1770,,,,,,,,,,Yes,,good,7,,,Yes,,Observed,,,,Appendix II of the Bern Convention and on Annex IV of the EU Natural Habitats Directive,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,,,,,,,,,,,,,,,,,,,,,,Reduction,,Observed,30,Quality of Habitat,"a) direct observation|c) a decline in area of occupancy, extent of occurrence and/or quality of habitat|e) the effects of introduced taxa, hybridization, pathogens, pollutants, competitors or parasites)",No,No,Yes,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,228187495,58052,Pelobates cultripes
,,,,,,,,,,,No,,,,,,,,Inferred,,,,,,,,,,,,,Yes,0,675,,,,,,,,,,Yes,,,,,,,,,,,,It is listed on Appendix II of the Bern Convention,Yes,,Yes,,,,Yes,,,,,,,,,,Yes,It is subject to ex situ conservation breeding programmes in Germany (ten Hagen et al. 2016) and the Netherlands (Crombaghs et al. 2015).,Yes,,,"In Sweden 99% of the subpopulation was lost between 1959-1989, however, the species is now recovering due to reintroduction and population augmentation.",Yes,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,Not domesticated,Unknown,Unknown,,Yes,,,No,,Yes,FALSE,Yes,,228187875,196236126,Pelobates fuscus
,,,,,,,,,,,No,,,,,,,,Inferred,,,,,432787,No,,,,,No,,Yes,0,1855,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,Appendix III of the Berne Convention,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,Unknown,,,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,229001009,55517,Hyla intermedia
,,,,,,,,,,,No,,,,,,,,Inferred,,,,,272068,Unknown,,,,,No,,Yes,0,2000,,,,,,,,,,Yes,,,,,,Unknown,,,,,No,Appendix III of the Bern Convention,Yes,,,,,Including Lake Skadar protected area (on the Albania-Montengro border),Yes,,,,,,,,,,,,,,,,,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,Unknown,Unknown,,Yes,,,No,,Yes,FALSE,Yes,,229003815,58637,Pelophylax kurtmuelleri
,,Unknown,,,,,,,No,,No,,,,,,,,Suspected,,,,,,Unknown,,,,,No,,Yes,200,2000,,,,,,,,,,Yes,,,,,,Yes,,Observed,,,,Listed on Annex IV of the EU Natural Habitats Directive and Appendix III of the Bern Convention.,Yes,,,,,,Yes,,,,,,"Yes, over entire range",,,,,,,,,,,No,FALSE,Unknown,,,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Unknown,,,,,,,,,,,,No,,,Reduction,,Suspected,20,,"c) a decline in area of occupancy, extent of occurrence and/or quality of habitat",,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,229005415,58605,Rana graeca
,"1000-1500,1300",Unknown,,,,,,,No,,No,,30,,,,,,Suspected,,,,,41586,No,,,,,No,,Yes,175,3000,,,,,,,4,Years,,Yes,,,,,,Yes,,Observed,,,,Appendix II of the Bern Convention and Annex IV of the EU Natural Habitats Directive,Yes,,,,,Including Parque Nacional de Ordesa y Monte Perdido and Parque Nacional de Aigües Tortes y Lago San Mauricio (Spain),Yes,,,,,,,,,,,,,,,,,No,FALSE,Unknown,,,No,,,,,,3,Years,,,14,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,229005750,59448,Calotriton asper
,,,,,,,,,,,No,,300,,,,,,Suspected,,,,,,,,,,,No,,Yes,0,2150,,,,,,,3.2,Years,,Yes,,,,,,,,,,,,Appendix III of the Bern Convention,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,,,,,,,,,,2.9,Years,,,8.4,,Not a Migrant,,FALSE,FALSE,,FALSE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,Not domesticated,Unknown,Unknown,,Yes,,,No,,Yes,FALSE,Yes,,229006372,79078647,Lissotriton vulgaris
,,,,,,,,,,,,,,,,,,,Observed,,,,,120,,,,,,,,Yes,600,1200,,99-100,,,,,,,,Yes,,medium,03-Jun,,,Yes,,Observed,,,,,,,,,,El Montseny Natural Park,Yes,,,,,,,,,,,"A captive breeding programme started in 2007 and is being carried out by the Departament de Medi Ambient of the Generalitat de Catalunya, Spain (Valbuena-Ureña et al. 2017a). ",Yes,,,,,No,FALSE,,,,,,,1,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,Yes,,Projected,,,,,,,,,,,,,,,,80,,"e) the effects of introduced taxa, hybridization, pathogens, pollutants, competitors or parasites)|c) a decline in area of occupancy, extent of occurrence and/or quality of habitat",,,,15,,"a) direct observation|c) a decline in area of occupancy, extent of occurrence and/or quality of habitat",No,No,Yes,,,,,,,,,,,1000-1500,,No,,Yes,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,2019,89696462,136131,Calotriton arnoldi
,,,,,,,,,,,,,,,,,,,Estimated,,,,,905,,,,,,,,No,1200,2600,,50-100,,,,,,,,No,,good,Jul-15,,,,,,,,,Annex IV of the EU Natural Habitats Directive and Appendix II of the Bern Convention,Yes,,,,,"Parco Provinciale di Conca Cialancia, Parco del Monviso, Parco Naturale Orsiera-Rocciavrè, Parc Regional du Queyras and Réserve naturelle de Ristolas-Mont-Viso (Italy and France), and Natura 2000 sites: Orsiera Rocciavré (IT1110006), Val Troncea (IT1110080), Pra - Barant (IT1110032), Gruppo del Monviso e Bosco dell'Alevè (IT1160058), Vallée du Haut Guil (FR9312019), Haut Guil - Mont Viso - Val Preveyre (FR9301504)",Yes,,,,,,,,,,,,,,,,,Yes,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,No,,89699123,19845,Salamandra lanzai
,,,,,,,,,,,No,,,,,,,,Inferred,,,,,96086,,,,,,,,Yes,50,1500,,,,20-100,,,,,,Yes,,,Jul-15,,,,,,,,,Appendix II of the Bern Convention and Annex II and IV of the Habitats Directive,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,Unknown,,,Yes,,,,,Yes,FALSE,Yes,,89706481,136135,Salamandrina perspicillata
,,,,,,,,,,,No,,,,,,,,Inferred,,,,,1240265,,,,,,,,Yes,0,2000,,,,,,,,,,Yes,,,,,,,,,,,,Appendix III of the Berne Convention,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,TRUE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,218083218,173111497,Pelodytes punctatus
,,,,,,,,,,,No,,,,,,,,Estimated,,,,,,,,,,,,,No,0,2500,,,,,,,,,,Yes,,good,Jul-15,,,Yes,,Observed,,,,Appendix III of the Bern Convention,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,Yes,,Projected,,,,,,,,,,,,,Reduction,,Suspected,30-49,AOO|Quality of Habitat,"c) a decline in area of occupancy, extent of occurrence and/or quality of habitat|e) the effects of introduced taxa, hybridization, pathogens, pollutants, competitors or parasites)",,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,Unknown,Unknown,,,Yes,,,No,,Yes,FALSE,Yes,,219148292,59467,Salamandra salamandra
,,Unknown,,,,,,,Unknown,,No,,,,,,,,Inferred,,,,,,Unknown,,,,,Unknown,,Yes,0,2100,,,,,,,,,,Yes,,good,05-Oct,,,Yes,,Observed,,,,Annex IV of the EU Natural Habitats Directive and Annex III of the Bern Convention,Yes,,,,,,Yes,,,,,,,,,,,,,,,In Madrid,Yes,No,FALSE,Unknown,,,Unknown,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,Yes,,Projected,,,,,,,,,,,,,Reduction,,Projected,30-49,AOO|Quality of Habitat,"e) the effects of introduced taxa, hybridization, pathogens, pollutants, competitors or parasites)|c) a decline in area of occupancy, extent of occurrence and/or quality of habitat",,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,Unknown,,,Yes,,,No,,Yes,FALSE,Yes,,219150517,59477,Triturus marmoratus
,,Unknown,,,,,,,Unknown,,No,,,,,,,,Inferred,,,,,,Unknown,,,,,Unknown,,Yes,0,2000,,,,,,,,,,Yes,,good,05-Oct,,,Yes,,Observed,,,,Appendix II of the Bern Convention and on Annex IV of the EU Natural Habitats Directive,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,Unknown,,,Unknown,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,Yes,,Projected,,,,,,,,,,,,,Reduction,,Projected,30-49,AOO|Quality of Habitat,"c) a decline in area of occupancy, extent of occurrence and/or quality of habitat|e) the effects of introduced taxa, hybridization, pathogens, pollutants, competitors or parasites)",,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,Yes,,264468745,214696589,Triturus carnifex
,1648,Unknown,,,,,,,No,,No,,,,,,,,Inferred,,,,,17290,Unknown,,,,,No,,Yes,0,2500,,,,20-99,,,,,,No,,,05-Oct,,,Unknown,,,,,,Appendix II of the Bern Convention and Annex IV of the EU Natural Habitats Directive.,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,Unknown,,,No,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,Unknown,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,Yes,FALSE,No,,265122877,59405,Speleomantes strinatii
,,,,,,,,,,,,,,,,,,,Suspected,,,,,25887,,,,,,,,Yes,0,2430,,0-4,,20-94,,,,,,No,,,05-Oct,,,,,,,,,Appendix II of the Bern Convention and Annex IV of the EU Natural Habitats Directive,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,No,FALSE,,,,,,,,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,Unknown,,,,,,,,Yes,FALSE,No,,265124975,20458,Speleomantes italicus
,,Unknown,,,,,,,No,,Yes,,,,,,,,Inferred,,,,,861,Unknown,,,,,No,,Yes,0,2300,,50-91,,,,,,,,No,,medium,05-Oct,,,Yes,,Observed,,,,"""Appendix II of the Bern Convention under S. italicus, and Annex IV of the EU Natural Habitats Directive\n""",Yes,,,,,Parco Nazionale delle Cinque Terre and Parco Naturale delle Alpi Apuane,Yes,,,,,,,,,,,,,,,,,No,FALSE,No,,,No,,,2,,,,,,,,,Not a Migrant,,FALSE,FALSE,,FALSE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,FALSE,,,,,,,,,,Yes,FALSE,No,,265126221,20454,Speleomantes ambrosii
